Year,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.01945078,0.03158951,0.02606264,0.01250823,0.01288208,0.04841552,0.006243915,0.002058968,0.03199699,0.02165727,0.01690433,0.001502141,0.01682242,0.002808416,0.05928017,0.001364082,0.01845648,0.01507744,0.01982498,0.006509554,1.820498E-05,0.04013327,9.045648E-06,0.001791523,0.03209849,0.000763229,0.004821138,0.0004481243,0.003256701,3.226826E-05,0.01153333,6.82383E-05,0.003816362,0.008060522,0.0001851065,0.002396467,0.00800097,0.06524099,0.003900726,0.007254611,0.02581733,0.03801603,0.06112431,0.0209375,0.01926957,0.0827762,0.3807284,0.02572203,0.3832605,0.004052375,0.03244349,0.1109231,0.0401604,0.144044,0.02479891,0.1126089,0.4499966,0.01344287,0.03861199,0.01211023,0.00264446,0.0009184376,0.1519896,0.1025475,0.1509445,1.958002,0.04906293,0.04232616,0.2956389,0.1432204,8.371701,9.937238,19.58289,17.0256,32.69255,11.0391,26.15114,58.19442
2,0.01948799,0.03247815,0.02635428,0.01244168,0.01293338,0.04679677,0.006123206,0.001937279,0.03179231,0.02146509,0.01638733,0.001502035,0.01794858,0.003292218,0.06805504,0.001378205,0.0189266,0.01440062,0.02023072,0.006586796,2.323038E-05,0.03901149,8.165975E-06,0.001875653,0.03215125,0.0007702116,0.004883611,0.000432632,0.003255326,3.187524E-05,0.01022438,4.001652E-05,0.003763857,0.008009769,0.0001832481,0.002410626,0.007785382,0.06486376,0.003868136,0.007225132,0.02500204,0.03723853,0.0628076,0.02103352,0.01925066,0.08233664,0.3834793,0.02428157,0.3871064,0.003834677,0.0295534,0.1107908,0.04048024,0.1446682,0.02520182,0.112047,0.449913,0.01201367,0.04706594,0.01970063,0.002920378,0.001123257,0.1500471,0.0998427,0.1495527,1.95874,0.04923109,0.04161322,0.2969557,0.1436645,8.396276,9.929299,19.5756,17.03294,32.69391,11.02479,26.15306,58.19267
3,0.0195374,0.03332212,0.02660172,0.01238212,0.01299122,0.04541905,0.006003723,0.001760741,0.03162846,0.02129635,0.01582414,0.001505019,0.01913252,0.003858077,0.07779916,0.001405391,0.01937833,0.01386109,0.01902659,0.006324768,1.199768E-05,0.03305557,6.025129E-06,0.001376802,0.03221399,0.0007765801,0.004725754,0.0004142673,0.003237226,3.191206E-05,0.008490729,2.63014E-05,0.003719639,0.007980096,0.000182523,0.002453626,0.007943664,0.06247956,0.003859165,0.00721279,0.02434954,0.03662214,0.0643772,0.02113583,0.01933748,0.08237412,0.3857915,0.02310802,0.3898991,0.003529383,0.02575385,0.1109733,0.0409109,0.1469582,0.02555073,0.1113764,0.4521837,0.005116867,0.02631889,0.02055774,0.005660777,0.001152416,0.1489278,0.09768861,0.1501876,1.965915,0.04958589,0.04245764,0.2973857,0.1453114,8.417715,9.931705,19.58974,17.03882,32.69613,11.0138,26.14776,58.18388
4,0.01959505,0.03412685,0.02682365,0.0123297,0.01304414,0.04437663,0.005880751,0.001526008,0.03152261,0.02115022,0.015542,0.00151382,0.02025031,0.00451937,0.08843801,0.001446643,0.0198155,0.0134325,0.01798176,0.006095884,1.397034E-05,0.03203849,9.029646E-06,0.001824648,0.03238904,0.0007792623,0.004425191,0.0004017134,0.003160142,3.134471E-05,0.007350495,3.294528E-05,0.003683958,0.007964668,0.00018283,0.002450687,0.0076216,0.06070266,0.003802025,0.007208942,0.0238156,0.0361208,0.06583825,0.02125793,0.01940838,0.08219105,0.3873092,0.02214592,0.3903154,0.003300065,0.02449465,0.1111276,0.04101413,0.1477042,0.02584664,0.1106507,0.4520063,0.004309557,0.02127408,0.03244739,0.01384883,0.003406984,0.1474733,0.09584748,0.1477397,1.96338,0.04957781,0.04323062,0.2935201,0.1479349,8.435738,9.925311,19.57745,17.04034,32.69691,11.00525,26.15366,58.1875
5,0.0196552,0.03488073,0.02702388,0.01228134,0.01309256,0.04350629,0.005744845,0.00134618,0.03145682,0.02102512,0.01534654,0.0015251,0.0213604,0.005292349,0.1001164,0.001501687,0.02023279,0.01308606,0.01812187,0.00599896,1.985671E-05,0.03133028,9.310625E-06,0.001448339,0.03258296,0.0007742891,0.004564033,0.0003991835,0.003086809,2.930685E-05,0.00669825,3.439723E-05,0.003651712,0.007958838,0.0001774884,0.002554673,0.007277625,0.05623088,0.003719866,0.007214701,0.02340691,0.03577081,0.06722521,0.02140073,0.01950783,0.08235341,0.3890592,0.0213523,0.394098,0.003096977,0.026282,0.1114202,0.0413767,0.1490617,0.02609773,0.1099141,0.4560714,0.01229762,0.0274186,0.01397708,0.0141127,0.006740018,0.1472654,0.09445199,0.1485174,1.967121,0.04975942,0.03977445,0.3004647,0.1459532,8.451042,9.927715,19.59458,17.04384,32.69896,10.99848,26.14755,58.17925
6,0.01972575,0.03557492,0.02719781,0.01224306,0.01313928,0.04269229,0.005594011,0.001279028,0.03142432,0.02091852,0.01492867,0.001537004,0.02243715,0.006195585,0.1128648,0.001570611,0.02063422,0.01281395,0.01740843,0.005839547,3.078475E-05,0.0304692,1.165164E-05,0.001641466,0.03275608,0.0007649917,0.004426596,0.0004021794,0.003039537,2.767406E-05,0.006344301,1.825511E-05,0.003626102,0.007955733,0.0001735912,0.002661878,0.007066228,0.04943261,0.003958087,0.007226114,0.02309402,0.03550354,0.06851744,0.02153728,0.01959187,0.08243326,0.3902693,0.0207151,0.3965677,0.002913066,0.02910947,0.1116019,0.04160607,0.1489384,0.02630702,0.1091807,0.4590884,0.03098214,0.07727747,0.0208072,0.004685569,0.007847135,0.1467694,0.09326527,0.1481584,1.962421,0.04966148,0.04476346,0.298146,0.1490423,8.461961,9.914437,19.5236,17.04177,32.6912,10.99312,26.15278,58.17923
7,0.01979165,0.03617864,0.02735543,0.01220436,0.01318953,0.04173082,0.005417992,0.001195662,0.0314176,0.02082847,0.01407367,0.001552643,0.02356203,0.007250475,0.1268462,0.001654088,0.02102184,0.01259214,0.01474758,0.005554796,1.242669E-05,0.02707949,7.229543E-06,0.001381628,0.03301508,0.0007700019,0.004193765,0.0004080116,0.002886247,2.709801E-05,0.006215261,1.25054E-05,0.003604645,0.007964355,0.0001702764,0.002655263,0.007043359,0.0426234,0.004172401,0.007241409,0.02285463,0.03529201,0.06969986,0.02166844,0.01970639,0.0824943,0.390909,0.02017298,0.3967345,0.002738953,0.02949864,0.1117711,0.04168676,0.1488933,0.02647656,0.1084708,0.4609568,0.01336149,0.0625293,0.03382246,0.005898265,0.003598226,0.1458739,0.09217146,0.1462779,1.961168,0.04993466,0.0460203,0.2824962,0.1550012,8.476161,9.905993,19.54156,17.04472,32.69598,10.98878,26.15652,58.18861
8,0.01985132,0.0367576,0.0275004,0.01216556,0.01323639,0.04091559,0.005210717,0.00114137,0.03143623,0.02075716,0.01241143,0.001567386,0.02475825,0.008483649,0.1422532,0.00175479,0.02140812,0.01243196,0.01116532,0.005510714,2.36518E-05,0.02654137,1.187306E-05,0.002084886,0.03343115,0.0007668937,0.00425279,0.0004121533,0.002923066,2.696225E-05,0.006142264,7.581093E-06,0.003588645,0.007976784,0.0001673509,0.002635944,0.007201552,0.03682624,0.004031103,0.007257591,0.02264148,0.03510887,0.07084047,0.02191434,0.01988128,0.08277375,0.3913539,0.01967464,0.3954726,0.002472585,0.03003272,0.1120561,0.04186762,0.1490042,0.02661393,0.1078086,0.4646278,0.009325629,0.06107099,0.07136147,0.02381688,0.004476766,0.1452134,0.09128576,0.1465662,1.960117,0.05003235,0.03711698,0.2694372,0.1385832,8.487648,9.902889,19.49281,17.05095,32.69546,10.98511,26.15723,58.182
9,0.01989915,0.03730485,0.02763414,0.01212096,0.01326238,0.04012881,0.004970582,0.001066613,0.03146708,0.02070518,0.0114221,0.001566393,0.02588691,0.009922081,0.1588913,0.001873566,0.02178955,0.01228283,0.008883089,0.005395763,1.478021E-05,0.02666237,8.188646E-06,0.001525167,0.0339229,0.0007461829,0.004299889,0.0004065686,0.003006808,2.714162E-05,0.005911155,4.308436E-06,0.003570502,0.00796158,0.000167515,0.002558855,0.007027933,0.03142523,0.003862733,0.007248753,0.022411,0.03488063,0.07190332,0.02220642,0.02003721,0.08297858,0.3918464,0.01917557,0.3968516,0.002021612,0.02745804,0.1123933,0.04201531,0.149254,0.02672367,0.1071966,0.4707241,0.009220019,0.03375334,0.03799227,0.02764619,0.00866667,0.1452684,0.09067019,0.1464382,1.965037,0.05143728,0.03116561,0.2681955,0.1159042,8.499682,9.927829,19.58467,17.08784,32.70618,10.98197,26.15012,58.18276
10,0.0199539,0.03785344,0.0277565,0.01208388,0.01327771,0.0393756,0.004715236,0.0009829233,0.03152759,0.02067429,0.0105347,0.001561356,0.02705879,0.01160298,0.1770802,0.002012212,0.0221711,0.01218887,0.00700938,0.005187159,2.479747E-05,0.02372292,1.095439E-05,0.001530554,0.03449758,0.0007535911,0.004299986,0.0004011186,0.002509515,2.74551E-05,0.005912466,2.87493E-06,0.003555725,0.007942515,0.0001637785,0.002555225,0.006966468,0.02873002,0.00379334,0.007246316,0.02225402,0.03473034,0.07294147,0.0225874,0.02021189,0.083376,0.3927277,0.01874959,0.4000206,0.001743219,0.02301248,0.1128097,0.0422029,0.1502537,0.02680996,0.106636,0.4807608,0.01829211,0.04958172,0.02740917,0.01510425,0.01463789,0.1461315,0.09030026,0.1482421,1.968903,0.05226626,0.02118813,0.2737253,0.1164757,8.502007,9.942489,19.55664,17.09465,32.70284,10.97934,26.14757,58.17473
