Year,"Blacktip Shark|Blacktip shark","Dusky Shark|Dusky shark","Sandbar Shark|Sandbar shark","Large Coastal Sharks|Large coastal sharks","Large Oceanic Sharks|Large oceanic sharks","Atlantic Sharpnose Shark|Atlantic sharpnose shark","Small Coastal Sharks|Small coastal sharks","Yellowfin Tuna|Yellowfin tuna","Bluefin Tuna|Bluefin tuna","Other Tunas|Other tunas",Billfish|Billfish,Swordfish|Swordfish,"Pelagic Coastal Piscivores|Pelagic coastal piscivores",Amberjack|Amberjack,Cobia|Cobia,"King Mackerel (0-1)|King mackerel (0-1yr)","King Mackerel (1+)|King mackerel (1+yr)","Spanish Mackerel (0-1)|Spanish mackerel (0-1yr)","Spanish Mackerel (1+)|Spanish mackerel (1+yr)",Skates-rays|Skates-rays,"Gag grouper (0-3yr)|Gag grouper (0-3yr)","Gag grouper (3+yr)|Gag grouper (3+yr)","Red grouper (0-3yr)|Red grouper (0-3yr)","Red grouper (3+yr)|Red grouper (3+yr)","Yellowedge grouper (0-3yr)|Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)|Yellowedge grouper (3+yr)","Goliath grouper|Goliath grouper","Deep-water grouper|Deep-water grouper","Shallow-water grouper|Shallow-water grouper","Red snapper (0yr)|Red snapper (0yr)","Red snapper (1-2yr)|Red snapper (1-2yr)","Red snapper (3+yr)|Red snapper (3+yr)","Vermilion snapper|Vermilion snapper","Mutton snapper|Mutton snapper","Other snapper|Other snapper","Inshore coastal piscivores|Inshore coastal piscivores","Sea trout|Sea trout","Oceanic piscivores|Oceanic piscivores","Benthic piscivores|Benthic piscivores","Reef piscivores|Reef piscivores","Reef invertebrate feeders|Reef invertebrate feeders","Demersal coastal invertebrate feeders|Demersal coastal invertebrate feeders","Red drum|Red drum","Benthic coastal invertebrate feeders|Benthic coastal invertebrate feeders",Tilefish|Tilefish,"Gray triggerfish|Gray triggerfish","Coastal omnivores|Coastal omnivores","Reef omnivores|Reef omnivores","Surface pelagics|Surface pelagics",Sardine-herring-scad|Sardine-herring-scad,"Menhaden (0yr)|Menhaden (0yr)","Menhaden (1yr)|Menhaden (1yr)","Menhaden (2yr)|Menhaden (2yr)","Menhaden (3yr)|Menhaden (3yr)","Menhaden (4yr)|Menhaden (4yr)",Anchovy-silverside-killifish|Anchovy-silverside-killifish,Mullet|Mullet,Butterfish|Butterfish,Cephalopod|Cephalopod,"Pink shrimp|Pink shrimp","Brown shrimp|Brown shrimp","White shrimp|White shrimp",Crab|Crab,"Sessile epifauna|Sessile epifauna","Mobile epifauna|Mobile epifauna",Zooplankton|Zooplankton
1,0.0005808799,0.0001127403,0.0001212928,0.001029014,1.480274E-06,0.003656295,0.0002452708,0.003805936,2.934292E-05,0.003212595,0.0007575117,0.005842772,0.005676733,0.004321321,0.001623592,0,0.00166638,1.281498E-05,0.0002027565,6.985623E-05,0.000195001,0.001473183,0,0.001703025,2.137941E-09,0.0004622122,5.260184E-05,0.0005305193,0.001768398,0.0002013952,0.0005795689,0.003120775,0.005788462,0.0008146553,0.002871745,0.006632674,0.01927777,0.0005232704,0.00223122,0.0004368232,0.006708741,0.01623234,0.003318958,0.01704195,6.114892E-05,0.006495558,0.01040969,0.0001247327,0.0004398031,0.0005719981,0.0001393439,0.01599158,0.007782815,0.0006763942,7.309275E-05,3.244725E-07,0.02003882,0.003951779,0.0005046802,0.01480314,0.1171947,0.05727513,0.08381907,0.02702097,0.03074847,0.002642496
2,0.0005743048,0.0001298287,0.0003972947,0.001030905,2.237811E-06,0.004297534,0.0002457657,0.004039308,3.440838E-05,0.003682264,0.0007653214,0.005992707,0.005446122,0.003318526,0.001529855,0,0.00100206,1.050025E-05,0.0002035219,7.07475E-05,0.0001980302,0.001465051,0,0.001726515,2.108511E-09,0.001122213,8.256514E-05,0.0005235964,0.001764636,0.00019715,0.000516124,0.003053226,0.006592377,0.0007696734,0.002867479,0.006471546,0.01894366,0.0005337624,0.002242223,0.0004378923,0.00668822,0.01645957,0.00320734,0.01728495,0.0003138421,0.01127283,0.01039748,0.0001250912,0.0004381273,0.0005706359,5.58826E-05,0.007624665,0.005874159,0.0003593371,4.516336E-05,3.252633E-07,0.01972929,0.003885224,0.0005047534,0.01481691,0.1177121,0.05296052,0.08537981,0.02702438,0.030759,0.002641289
3,0.0005274115,0.0001472915,0.0003238012,0.001032995,2.516158E-06,0.003961086,0.0002463711,0.004279728,4.032922E-05,0.004199946,0.0007803267,0.006136275,0.005255268,0.006508928,0.002176455,0,0.001095404,4.886E-06,0.0001519171,7.147139E-05,0.0002011236,0.001786145,0,0.001734297,2.101072E-09,0.001376996,3.522581E-05,0.0005174982,0.001763918,0.0001946004,0.0004574358,0.002637627,0.009635183,0.000787819,0.00286588,0.006338533,0.01866867,0.0005427583,0.002249331,0.0004404164,0.006697232,0.0166401,0.003113725,0.01745556,0.0003398773,0.009978634,0.01042271,0.0001254774,0.000442012,0.000571099,9.902159E-06,0.001972977,0.002987935,0.0004084549,3.133121E-05,3.283248E-07,0.01949012,0.00387822,0.0005043973,0.01495092,0.1155164,0.05629274,0.0836555,0.02702102,0.03082966,0.002645023
4,0.0003281529,0.0001757887,0.0004713713,0.001035343,2.781083E-06,0.003771173,0.0002478092,0.004509848,4.726042E-05,0.004764573,0.0008031712,0.006275283,0.005107109,0.004050053,0.001821605,0,0.0008308782,7.383207E-06,0.0001180688,7.231078E-05,0.0002034986,0.001769524,0,0.001752844,2.061978E-09,0.0009214678,2.546092E-05,0.0005124485,0.001765532,0.00019389,0.0004772182,0.003510813,0.007744132,0.0008751643,0.002866728,0.006227271,0.0184467,0.0005504981,0.002259259,0.0004425327,0.006689752,0.01677222,0.003034745,0.01751409,0.0002618779,0.006585527,0.01045146,0.0001251368,0.0004432612,0.0005689641,4.078335E-06,0.002315831,0.005747308,0.001207006,9.73549E-05,3.294944E-07,0.01928361,0.003836025,0.000503977,0.01481981,0.1182926,0.06281491,0.08410699,0.02701509,0.03084563,0.002642778
5,0.0004126322,0.0002136541,0.0002892841,0.001037924,3.184007E-06,0.003816978,0.000249498,0.004737118,5.536919E-05,0.00538398,0.0008337217,0.006408267,0.004985294,0.00391639,0.001949497,0,0.0007373304,6.416814E-06,6.851856E-05,7.310349E-05,0.0002033374,0.001248306,0,0.001678015,1.921556E-09,0.0006873675,4.818325E-05,0.0005078349,0.001768307,0.0001863566,0.0002549871,0.003190063,0.0144655,0.0008234663,0.002870419,0.006141249,0.01829129,0.0005572449,0.002269241,0.0004450779,0.006697244,0.01688808,0.002968669,0.01766501,0.0003154125,0.003715638,0.01047659,0.0001256353,0.000445086,0.0005718782,2.70459E-05,0.004203264,0.004385435,0.002300521,0.0003303854,3.310923E-07,0.01912537,0.003823153,0.0005048286,0.01489811,0.120006,0.03962439,0.09084707,0.02700935,0.03085527,0.002646542
6,0.0005435735,0.0002557618,0.0002394245,0.001041168,6.480819E-06,0.004240127,0.000251155,0.00496094,6.485858E-05,0.006061311,0.0008720893,0.00653645,0.00489041,0.005719779,0.002081332,0,0.0008976479,9.946617E-06,9.160884E-05,7.375712E-05,0.0002018129,0.001856368,0,0.001656204,1.804515E-09,0.0005029773,5.043956E-05,0.0005044267,0.001770683,0.0001803469,0.0001262285,0.003399054,0.01531284,0.0003317475,0.002876321,0.006074124,0.01817247,0.0005632198,0.002279047,0.000447327,0.006703205,0.01697009,0.002916242,0.01777626,0.0002888702,0.004121061,0.01048172,0.0001259846,0.000442959,0.0005744511,0.0001230412,0.01224571,0.005904678,0.0008488491,0.0004328957,3.309947E-07,0.01898577,0.003806044,0.0005053217,0.0150258,0.1081313,0.06620466,0.07825404,0.0269993,0.03079312,0.002638423
7,0.0009029051,0.0003140836,0.000298997,0.001044679,8.659417E-06,0.004808595,0.0002533603,0.005188468,7.594869E-05,0.006797621,0.000918557,0.006660031,0.00480395,0.007719316,0.002279794,0,0.0007774853,5.110869E-06,0.0001773687,7.450714E-05,0.0002039565,0.001637132,0,0.001753273,1.759603E-09,0.0003588315,2.817462E-05,0.0005016364,0.001774524,0.0001754442,0.0001035384,0.003321609,0.01587693,0.0007377754,0.002880947,0.006020032,0.01807331,0.0005684837,0.002286142,0.0004489616,0.006693511,0.01701964,0.002867954,0.01779624,0.0003466176,0.007430193,0.01048032,0.0001253081,0.0004390319,0.0005731552,2.567138E-05,0.005845847,0.005127827,0.0004020256,0.0001149827,3.304633E-07,0.01884646,0.003714893,0.0005043689,0.01449281,0.1245483,0.0932631,0.08508909,0.02699444,0.0307853,0.002636907
8,0.0005784325,0.0003705853,0.0002198125,0.001048403,8.827284E-06,0.005587033,0.0002553487,0.00543955,8.893193E-05,0.007611815,0.0009745993,0.006782549,0.004744125,0.007554946,0.001858865,0,0.0006103217,8.456963E-06,0.0001515095,7.554573E-05,0.0002045602,0.001361409,0,0.001475891,1.743235E-09,0.0003235751,2.768313E-05,0.0004994574,0.001778764,0.0001716646,9.13676E-05,0.003244545,0.01474067,0.00102934,0.002886841,0.005968343,0.01798235,0.0005728753,0.002308337,0.0004530778,0.006720167,0.01705815,0.002819005,0.0177544,0.0005231944,0.005431203,0.01051756,0.0001255037,0.0004398289,0.0005768689,1.105705E-05,0.005651906,0.01234022,0.00182713,0.0001329272,3.321534E-07,0.01874844,0.003755934,0.0005035891,0.01463814,0.1285657,0.09821021,0.1177066,0.0269946,0.03082909,0.002632987
9,0.0008216593,0.0004259062,0.0003051543,0.001051938,7.849535E-06,0.003981315,0.0002541548,0.00567357,0.0001041055,0.008489032,0.00104084,0.006903853,0.00468513,0.005357909,0.00217177,0,0.0005380524,5.131439E-06,9.805095E-05,7.670152E-05,0.0001991142,0.001504856,0,0.001644651,1.746826E-09,0.0003986623,1.843469E-05,0.0004972578,0.001774917,0.000170771,0.0001735169,0.003652334,0.01445765,0.0008456229,0.002878896,0.005903352,0.01785213,0.0005769113,0.002337141,0.0004565051,0.006723689,0.01709013,0.002764544,0.01780228,0.000697787,0.0118543,0.01054685,0.000125537,0.000438393,0.0005820332,1.239721E-05,0.002996583,0.006750656,0.002233113,0.0002070567,3.330117E-07,0.01868431,0.003738272,0.0005044697,0.01185636,0.1163704,0.08566517,0.1053872,0.02699804,0.03090578,0.00264447
10,0.0007427986,0.0004613639,0.0002651656,0.001056139,6.053032E-06,0.004782354,0.0002523174,0.005916488,0.0001218548,0.009450855,0.001118234,0.007025236,0.004649868,0.005328249,0.002074482,0,0.001206485,8.969413E-06,0.0001416535,7.799463E-05,0.0002012137,0.001472485,0,0.002157043,1.761999E-09,0.0002043416,1.317832E-05,0.0004957354,0.001770454,0.00016616,0.0001191962,0.003220049,0.01052261,0.000771434,0.002875707,0.005857111,0.01775747,0.0005805139,0.002377064,0.0004607358,0.00675632,0.01712166,0.002718618,0.01788739,0.0003418303,0.01154026,0.01057669,0.0001259367,0.0004410703,0.0005943699,5.524953E-05,0.01017259,0.008278416,0.002766969,0.0008228993,3.34738E-07,0.01865262,0.003780139,0.0005059236,0.01276419,0.1043807,0.07615782,0.07343555,0.02699066,0.03094204,0.002642876
