Year,"Blacktip Shark|Blacktip shark","Dusky Shark|Dusky shark","Sandbar Shark|Sandbar shark","Large Coastal Sharks|Large coastal sharks","Large Oceanic Sharks|Large oceanic sharks","Atlantic Sharpnose Shark|Atlantic sharpnose shark","Small Coastal Sharks|Small coastal sharks","Yellowfin Tuna|Yellowfin tuna","Bluefin Tuna|Bluefin tuna","Other Tunas|Other tunas",Billfish|Billfish,Swordfish|Swordfish,"Pelagic Coastal Piscivores|Pelagic coastal piscivores",Amberjack|Amberjack,Cobia|Cobia,"King Mackerel (1+)|King mackerel (1+yr)","Spanish Mackerel (0-1)|Spanish mackerel (0-1yr)","Spanish Mackerel (1+)|Spanish mackerel (1+yr)",Skates-rays|Skates-rays,"Gag grouper (0-3yr)|Gag grouper (0-3yr)","Gag grouper (3+yr)|Gag grouper (3+yr)","Red grouper (3+yr)|Red grouper (3+yr)","Yellowedge grouper (0-3yr)|Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)|Yellowedge grouper (3+yr)","Goliath grouper|Goliath grouper","Deep-water grouper|Deep-water grouper","Shallow-water grouper|Shallow-water grouper","Red snapper (0yr)|Red snapper (0yr)","Red snapper (1-2yr)|Red snapper (1-2yr)","Red snapper (3+yr)|Red snapper (3+yr)","Vermilion snapper|Vermilion snapper","Mutton snapper|Mutton snapper","Other snapper|Other snapper","Inshore coastal piscivores|Inshore coastal piscivores","Sea trout|Sea trout","Oceanic piscivores|Oceanic piscivores","Benthic piscivores|Benthic piscivores","Reef piscivores|Reef piscivores","Reef invertebrate feeders|Reef invertebrate feeders","Demersal coastal invertebrate feeders|Demersal coastal invertebrate feeders","Red drum|Red drum","Benthic coastal invertebrate feeders|Benthic coastal invertebrate feeders",Tilefish|Tilefish,"Gray triggerfish|Gray triggerfish","Coastal omnivores|Coastal omnivores","Reef omnivores|Reef omnivores","Surface pelagics|Surface pelagics",Sardine-herring-scad|Sardine-herring-scad,"Menhaden (0yr)|Menhaden (0yr)","Menhaden (1yr)|Menhaden (1yr)","Menhaden (2yr)|Menhaden (2yr)","Menhaden (3yr)|Menhaden (3yr)","Menhaden (4yr)|Menhaden (4yr)",Anchovy-silverside-killifish|Anchovy-silverside-killifish,Mullet|Mullet,Butterfish|Butterfish,Cephalopod|Cephalopod,"Pink shrimp|Pink shrimp","Brown shrimp|Brown shrimp","White shrimp|White shrimp",Crab|Crab,"Sessile epifauna|Sessile epifauna","Mobile epifauna|Mobile epifauna",Zooplankton|Zooplankton
1,0.000353817,0.0001104028,6.80459E-05,0.0005046791,1.480274E-06,0.0003310812,8.423058E-05,0.003754086,1.68912E-05,0.003189441,0.0007202763,0.005818531,0.005316636,0.004222705,0.001214272,0.001662497,1.062047E-06,0.0001006747,5.553127E-05,0.0001797367,0.001471228,0.001597138,2.137941E-09,0.0004622122,5.260142E-05,0.0005305193,0.001612824,1.177005E-09,0.0005335003,0.003120775,0.001271957,0.0008078962,0.002771261,0.006503248,0.01738401,0.0005231447,0.001963507,0.0004300395,0.006007429,0.01226628,0.003250144,0.00970793,5.84627E-05,0.001383173,0.00961507,0.0001149781,0.0004398031,0.0005713593,0.0001393439,0.01599158,0.007782815,0.0006763942,7.246884E-05,3.244725E-07,0.02003217,0.002719868,0.0005046802,0.01480314,0.1171947,0.05727513,0.08381907,0.02702097,0.03074847,0.002642496
2,0.0003498121,0.0001271368,0.0002228843,0.0005056069,2.237811E-06,0.000389146,8.440053E-05,0.003984279,1.980712E-05,0.003655725,0.0007277019,0.005967844,0.005100655,0.003242794,0.001144166,0.0009997243,8.702119E-07,0.0001010547,5.623978E-05,0.0001825288,0.001463108,0.001619167,2.108511E-09,0.001122213,8.256446E-05,0.0005235964,0.001609392,1.152195E-09,0.0004750986,0.003053226,0.001448609,0.0007632875,0.002767146,0.006345265,0.01708273,0.000533634,0.001973189,0.000431092,0.005989055,0.01243799,0.00314084,0.009846353,0.0003000553,0.002400451,0.009603799,0.0001153086,0.0004381273,0.0005699986,5.58826E-05,0.007624665,0.005874159,0.0003593371,4.477786E-05,3.252633E-07,0.01972274,0.002674062,0.0005047534,0.01481691,0.1177121,0.05296052,0.08537981,0.02702438,0.030759,0.002641289
3,0.0003212491,0.0001442376,0.0001816541,0.0005066319,2.516158E-06,0.0003586804,8.460842E-05,0.004221424,2.321544E-05,0.004169676,0.0007419697,0.006110816,0.004921908,0.006360388,0.001627753,0.001092851,4.049291E-07,7.543139E-05,5.681522E-05,0.0001853801,0.001783776,0.001626465,2.101072E-09,0.001376996,3.522552E-05,0.0005174982,0.001608738,1.137294E-09,0.0004210753,0.002637627,0.002117236,0.0007812825,0.002765602,0.006214846,0.01683475,0.0005426278,0.001979445,0.000433577,0.005997123,0.01257441,0.003049166,0.009943548,0.0003249469,0.002124864,0.009627096,0.0001156646,0.000442012,0.0005704612,9.902159E-06,0.001972977,0.002987935,0.0004084549,3.106378E-05,3.283248E-07,0.01948366,0.00266924,0.0005043973,0.01495092,0.1155164,0.05629274,0.0836555,0.02702102,0.03082966,0.002645023
4,0.0001998797,0.000172144,0.0002644417,0.0005077832,2.781083E-06,0.0003414835,8.510231E-05,0.004448408,2.720537E-05,0.004730233,0.0007636915,0.006249247,0.004783147,0.003957627,0.001362364,0.0008289418,6.11886E-07,5.86247E-05,5.748248E-05,0.0001875692,0.001767177,0.001643859,2.061978E-09,0.0009214678,2.546071E-05,0.0005124485,0.00161021,1.133143E-09,0.0004392853,0.003510813,0.001701696,0.0008679032,0.00276642,0.006105756,0.01663459,0.0005503658,0.001988182,0.0004356605,0.005990424,0.01267425,0.002971824,0.009976886,0.0002503738,0.001402331,0.00965366,0.0001153506,0.0004432612,0.0005683287,4.078335E-06,0.002315831,0.005747308,0.001207006,9.652389E-05,3.294944E-07,0.01927721,0.002640199,0.000503977,0.01481981,0.1182926,0.06281491,0.08410699,0.02701509,0.03084563,0.002642778
5,0.0002513365,0.0002092243,0.0001622898,0.0005090492,3.184007E-06,0.0003456312,8.568228E-05,0.004672583,3.187317E-05,0.005345176,0.0007927401,0.006381679,0.004669058,0.003827014,0.001458013,0.0007356119,5.317958E-07,3.402152E-05,5.811263E-05,0.0001874205,0.00124665,0.001573682,1.921556E-09,0.0006873675,4.818288E-05,0.0005078349,0.001612741,1.089116E-09,0.0002347188,0.003190063,0.003178651,0.0008166341,0.002769982,0.006021412,0.01649444,0.000557111,0.001996966,0.0004381661,0.005997133,0.0127618,0.002907118,0.01006286,0.0003015567,0.0007912128,0.009676871,0.0001158101,0.000445086,0.0005712395,2.70459E-05,0.004203264,0.004385435,0.002300521,0.0003275653,3.310923E-07,0.01911903,0.00263134,0.0005048286,0.01489811,0.120006,0.03962439,0.09084707,0.02700935,0.03085527,0.002646542
6,0.0003310934,0.0002504589,0.0001343184,0.0005106402,6.480819E-06,0.0003839478,8.62513E-05,0.004893355,3.733571E-05,0.006017625,0.0008292217,0.00650933,0.004580194,0.005589249,0.001556612,0.0008955558,8.243296E-07,4.548653E-05,5.863224E-05,0.0001860154,0.001853905,0.001553228,1.804515E-09,0.0005029773,5.043916E-05,0.0005044267,0.001614908,1.053994E-09,0.0001161949,0.003399054,0.003364844,0.0003289949,0.002775677,0.005955597,0.01638729,0.0005630844,0.002005595,0.0004403802,0.006002472,0.01282377,0.002855778,0.01012623,0.0002761805,0.0008775443,0.00968161,0.0001161321,0.000442959,0.0005738095,0.0001230412,0.01224571,0.005904678,0.0008488491,0.0004292007,3.309947E-07,0.01897947,0.002619565,0.0005053217,0.0150258,0.1081313,0.06620466,0.07825404,0.0269993,0.03079312,0.002638423
7,0.0005499642,0.0003075715,0.0001677388,0.0005123621,8.659417E-06,0.0004354232,8.700867E-05,0.005117783,4.371973E-05,0.006748628,0.0008734053,0.006632398,0.004499218,0.007543155,0.00170504,0.0007756734,4.235652E-07,8.806887E-05,5.922846E-05,0.0001879912,0.00163496,0.001644261,1.759603E-09,0.0003588315,2.817439E-05,0.0005016364,0.001618411,1.02534E-09,9.530838E-05,0.003321609,0.003488797,0.0007316541,0.002780141,0.005902561,0.01629787,0.0005683469,0.002011839,0.0004419894,0.005993791,0.01286121,0.002808492,0.01013761,0.0003313911,0.001582195,0.009680315,0.0001155085,0.0004390319,0.0005725151,2.567138E-05,0.005845847,0.005127827,0.0004020256,0.0001140013,3.304633E-07,0.01884021,0.002556828,0.0005043689,0.01449281,0.1245483,0.0932631,0.08508909,0.02699444,0.0307853,0.002636907
8,0.0003523263,0.0003629017,0.0001233159,0.0005141886,8.827284E-06,0.0005059115,8.769151E-05,0.005365444,5.11935E-05,0.007556955,0.000926693,0.006754408,0.004443187,0.007382534,0.00139023,0.0006088993,7.008741E-07,7.522903E-05,6.005407E-05,0.0001885477,0.001359603,0.001384126,1.743235E-09,0.0003235751,2.76829E-05,0.0004994574,0.001622278,1.003252E-09,8.410501E-05,0.003244545,0.003239115,0.001020799,0.00278583,0.00585188,0.01621585,0.0005727375,0.002031371,0.0004460417,0.00601766,0.01289031,0.002760557,0.01011378,0.000500211,0.001156528,0.009714705,0.0001156888,0.0004398289,0.0005762247,1.105705E-05,0.005651906,0.01234022,0.00182713,0.0001317926,3.321534E-07,0.01874222,0.002585076,0.0005035891,0.01463814,0.1285657,0.09821021,0.1177066,0.0269946,0.03082909,0.002632987
9,0.000500477,0.0004170755,0.0001711931,0.0005159226,7.849535E-06,0.0003605121,8.728152E-05,0.005596277,5.992814E-05,0.008427849,0.0009896779,0.006875209,0.004387935,0.005235637,0.00162425,0.0005367984,4.252699E-07,4.868523E-05,6.097284E-05,0.0001835279,0.00150286,0.001542393,1.746826E-09,0.0003986623,1.843454E-05,0.0004972578,0.001618769,9.980292E-10,0.0001597245,0.003652334,0.003176925,0.0008386067,0.002778162,0.005788157,0.01609842,0.0005767727,0.002056719,0.0004494158,0.006020815,0.01291448,0.002707226,0.01014106,0.000667134,0.00252427,0.009741767,0.0001157195,0.000438393,0.0005813832,1.239721E-05,0.002996583,0.006750656,0.002233113,0.0002052893,3.330117E-07,0.01867811,0.002572919,0.0005044697,0.01185636,0.1163704,0.08566517,0.1053872,0.02699804,0.03090578,0.00264447
10,0.0004524426,0.0004517981,0.0001487593,0.0005179829,6.053032E-06,0.000433047,8.665051E-05,0.005835885,7.014548E-05,0.00938274,0.001063267,0.006996088,0.00435491,0.005206654,0.001551488,0.001203673,7.433435E-07,7.033518E-05,6.200079E-05,0.0001854631,0.001470531,0.002022927,1.761999E-09,0.0002043416,1.317821E-05,0.0004957354,0.001614699,9.710818E-10,0.0001097216,0.003220049,0.002312239,0.0007650335,0.002775085,0.00574282,0.01601307,0.0005803744,0.002091852,0.0004535807,0.006050034,0.01293831,0.002662252,0.01018954,0.000326814,0.002457398,0.009769328,0.000116088,0.0004410703,0.0005937061,5.524953E-05,0.01017259,0.008278416,0.002766969,0.0008158754,3.34738E-07,0.01864643,0.002601735,0.0005059236,0.01276419,0.1043807,0.07615782,0.07343555,0.02699066,0.03094204,0.002642876
