TimeStep,"Coastal dolphins","Offshore dolphins","Baleen whales",Seabird,"Sea turtle","Blacktip shark","Dusky shark","Sandbar shark","Large coastal sharks","Large oceanic sharks","Atlantic sharpnose shark","Small coastal sharks","Yellowfin tuna","Bluefin tuna","Other tunas",Billfish,Swordfish,"Pelagic coastal piscivores",Amberjack,Cobia,"King mackerel (0-1yr)","King mackerel (1+yr)","Spanish mackerel (0-1yr)","Spanish mackerel (1+yr)",Skates-rays,"Gag grouper (0-3yr)","Gag grouper (3+yr)","Red grouper (0-3yr)","Red grouper (3+yr)","Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)","Goliath grouper","Deep-water grouper","Shallow-water grouper","Red snapper (0yr)","Red snapper (1-2yr)","Red snapper (3+yr)","Vermilion snapper","Mutton snapper","Other snapper","Inshore coastal piscivores","Sea trout","Oceanic piscivores","Benthic piscivores","Reef piscivores","Reef invertebrate feeders","Demersal coastal invertebrate feeders","Red drum","Benthic coastal invertebrate feeders",Tilefish,"Gray triggerfish","Coastal omnivores","Reef omnivores","Surface pelagics","Large oceanic planktivores","Oceanic planktivores",Sardine-herring-scad,"Menhaden (0yr)","Menhaden (1yr)","Menhaden (2yr)","Menhaden (3yr)","Menhaden (4yr)",Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,"Pink shrimp","Brown shrimp","White shrimp",Crab,"Sessile epifauna","Mobile epifauna",Zooplankton,Infauna,Algae,Seagrass,Phytoplankton,Detritus
1,0.01943519,0.03116986,0.02591845,0.01254472,0.01286041,0.04936752,0.006299526,0.002037822,0.03210043,0.02175846,0.01705255,0.001502132,0.01629938,0.002608613,0.05550643,0.001362323,0.01823222,0.01526722,0.01999299,0.006565683,2.425753E-05,0.04264101,1.155473E-05,0.001976746,0.03201357,0.0007607489,0.004811473,0.0004442412,0.003269054,3.311413E-05,0.01175104,6.732392E-05,0.003833783,0.008171942,0.0001804957,0.002347279,0.008049379,0.06542678,0.004012331,0.007439322,0.02620595,0.03816145,0.0599215,0.02075255,0.01957047,0.08355989,0.3770678,0.02636961,0.3773144,0.004089694,0.03246042,0.1125735,0.04162941,0.1447116,0.02460513,0.1133709,0.4407977,0.01668896,0.04097134,0.01312884,0.002973164,0.000615894,0.1491786,0.103592,0.1501084,1.981466,0.05478054,0.04309437,0.2969411,0.1441934,8.354944,10.0339,19.69879,17.28348,31.79026,9.679359,25.21121,57.69677
2,0.0194493,0.03126157,0.02594705,0.012537,0.01286253,0.04898427,0.006293646,0.002041667,0.03208588,0.02173874,0.01689197,0.001502216,0.01638552,0.00264242,0.05614076,0.001363479,0.01828446,0.01544963,0.01993456,0.006492997,2.243504E-05,0.04242058,1.155964E-05,0.002003652,0.03204374,0.0007317261,0.004771652,0.0004317402,0.003197764,3.199047E-05,0.01166522,6.61615E-05,0.003830299,0.008032616,0.0001481435,0.002278855,0.008016514,0.06526823,0.003950113,0.007274846,0.02689883,0.03888836,0.06051813,0.02078881,0.01919899,0.08283756,0.377109,0.02683081,0.3839322,0.004079447,0.03245899,0.1100117,0.04021199,0.1433699,0.0246303,0.1125435,0.4506283,0.01515823,0.04224874,0.01371312,0.002975995,0.0007008431,0.1557637,0.1046879,0.1514736,1.969051,0.04779787,0.04249913,0.3015105,0.1416576,8.552154,10.00958,19.35216,17.06643,31.44749,9.176323,24.88422,56.21037
3,0.01945332,0.03134156,0.02597418,0.01252763,0.01286475,0.04872904,0.006287539,0.002047228,0.03206586,0.02171826,0.01680411,0.001501547,0.01646685,0.002676582,0.05677849,0.001364396,0.01833582,0.01571446,0.01987984,0.006459417,2.017503E-05,0.04131421,1.117355E-05,0.00199402,0.03209187,0.0007198601,0.004746458,0.0004307475,0.003156931,3.105031E-05,0.01161322,6.572446E-05,0.003827753,0.007914208,0.0001424676,0.002310423,0.00801666,0.06513131,0.003883212,0.007109774,0.02745089,0.0394965,0.06109674,0.0208504,0.01882976,0.08263474,0.3801481,0.02720251,0.3896519,0.004071141,0.03246868,0.1085979,0.03871532,0.1430359,0.02465473,0.1117188,0.464163,0.01328052,0.04253016,0.01396574,0.002936419,0.00079046,0.1645409,0.106558,0.1528606,1.941543,0.04163355,0.04189075,0.3040666,0.1406724,8.671437,9.983172,19.00105,16.77241,31.6834,9.223121,25.21837,55.2515
4,0.01945073,0.03141078,0.02600024,0.01251688,0.01286709,0.04855761,0.006280194,0.002052774,0.03203843,0.02169736,0.01679813,0.001499856,0.01654177,0.002711143,0.0574163,0.001365192,0.01838617,0.0159936,0.0198303,0.006453071,1.793684E-05,0.04003043,1.039308E-05,0.001966715,0.03213632,0.0007273086,0.004744762,0.0004386213,0.003177165,3.084793E-05,0.01158387,6.637486E-05,0.003825174,0.007884785,0.0001837416,0.002488417,0.008035007,0.06507361,0.003835858,0.007010808,0.02784705,0.04001054,0.06164179,0.0209177,0.01874255,0.0845753,0.3844773,0.02747764,0.3933566,0.00406394,0.03247311,0.1084993,0.03762124,0.1432114,0.02467976,0.110939,0.4784161,0.01165877,0.04098397,0.01362307,0.002844834,0.0008725999,0.1735352,0.1086524,0.1541372,1.90579,0.03888432,0.04123546,0.3056788,0.1399323,8.768573,9.94842,18.80089,16.52583,32.33344,9.760969,25.95424,55.5639
5,0.01944661,0.03147516,0.02602553,0.01250557,0.01286986,0.04840499,0.006271126,0.002057509,0.03200819,0.02167634,0.01681892,0.00149819,0.01662024,0.00274658,0.05806971,0.001365421,0.01843479,0.01625309,0.01978927,0.006451663,1.623544E-05,0.03953428,9.960249E-06,0.001913007,0.03217638,0.0007403465,0.004753633,0.0004465493,0.003207497,3.120624E-05,0.01155858,6.744908E-05,0.003822054,0.007920384,0.0002165316,0.002624171,0.00805518,0.06507507,0.003817127,0.006995849,0.02792276,0.0403134,0.06201465,0.0209848,0.01886919,0.08708869,0.3882779,0.02747911,0.3949583,0.004058146,0.03247603,0.1087388,0.03740611,0.1432913,0.02470803,0.1105057,0.4908136,0.01055165,0.03949386,0.0132387,0.002748282,0.0009436612,0.1816799,0.110755,0.1552566,1.87585,0.03904539,0.04087165,0.309033,0.139223,8.836373,9.928728,18.84577,16.41857,32.82307,10.50654,26.41378,56.94042
6,0.01944602,0.03154023,0.02605014,0.0125011,0.01287454,0.04830701,0.006261,0.002061751,0.03198776,0.02165783,0.01686363,0.00149878,0.01672968,0.002783813,0.05878462,0.001365859,0.01848062,0.01593468,0.01979392,0.006462628,1.491166E-05,0.0398638,8.560735E-06,0.001798855,0.0322143,0.0007585931,0.004798545,0.0004561251,0.00325238,3.194851E-05,0.01157793,6.858078E-05,0.003820348,0.007987063,0.0002230941,0.002676372,0.008103884,0.06513001,0.003822689,0.007048219,0.02707388,0.03970566,0.06185075,0.02106257,0.01906548,0.08678518,0.3887449,0.02679755,0.3929891,0.004053885,0.03248793,0.1092406,0.03794184,0.1440489,0.02474748,0.110945,0.4800274,0.01011676,0.03775442,0.01273579,0.002655346,0.0009937771,0.1727222,0.1081956,0.1556517,1.882802,0.04123146,0.04117954,0.3103478,0.1399274,8.745162,9.984613,19.16519,16.50513,33.07213,11.3332,26.64318,58.21329
7,0.01944884,0.03161407,0.02607477,0.01249964,0.01288154,0.04823095,0.006243793,0.002063571,0.03197712,0.02164086,0.01687595,0.001500816,0.0168501,0.002822918,0.05953965,0.00136429,0.01850058,0.0153284,0.01981241,0.006475138,1.358752E-05,0.03969545,6.829804E-06,0.001688984,0.03222123,0.0007731827,0.004838638,0.000459784,0.003283474,3.250683E-05,0.0115482,6.948248E-05,0.00381941,0.008049024,0.0002130324,0.002651873,0.008126176,0.0651979,0.003841645,0.007132952,0.02595033,0.03862189,0.06159813,0.02112743,0.01917849,0.08432236,0.3869862,0.02586506,0.3890081,0.004050223,0.03248749,0.1097515,0.03887536,0.1438746,0.02480186,0.1118137,0.4619173,0.01041858,0.0365435,0.01209863,0.002560256,0.001015939,0.1579347,0.1038313,0.1532279,1.913222,0.04447881,0.04163711,0.3062227,0.1412477,8.551853,10.02148,19.56874,16.72973,33.22922,12.16908,26.73663,59.08024
8,0.01945495,0.03169923,0.02609961,0.01249983,0.01289054,0.04816098,0.006219512,0.002062928,0.03197476,0.02162598,0.01684832,0.001503804,0.01697496,0.002862242,0.06032402,0.001361001,0.01849352,0.01466809,0.01982479,0.00648379,1.311644E-05,0.03960793,5.807887E-06,0.001569813,0.03217551,0.0007819812,0.004867248,0.0004575851,0.003295304,3.28803E-05,0.01149224,7.000806E-05,0.003818555,0.008087138,0.0001909986,0.002528877,0.0080993,0.06525839,0.003868065,0.00722902,0.02478751,0.03727728,0.06136421,0.02115257,0.01920028,0.08123491,0.383002,0.0248721,0.383369,0.004046804,0.0324581,0.1102828,0.03999002,0.1426912,0.02486849,0.1129164,0.4426627,0.0115068,0.03441904,0.01115706,0.002453667,0.001008058,0.142376,0.09901077,0.1489653,1.961201,0.04840018,0.04189426,0.2953622,0.142729,8.275514,9.946092,19.9343,17.05249,33.36902,12.76995,26.78321,59.67536
9,0.01945908,0.03177975,0.02612486,0.01250063,0.01289866,0.04814184,0.006202946,0.002065591,0.03196632,0.0216129,0.01688654,0.001505843,0.01710023,0.002902467,0.06110637,0.001360751,0.01850936,0.01401751,0.01981956,0.006515787,1.403903E-05,0.03952729,5.557341E-06,0.001475422,0.03204573,0.0007833564,0.004881924,0.0004538047,0.003285799,3.307622E-05,0.01150142,6.992153E-05,0.003815146,0.008100539,0.0001540465,0.002278093,0.007940259,0.06528823,0.003900688,0.00733704,0.02364028,0.03579563,0.06102874,0.02106297,0.01934606,0.07814346,0.3759287,0.02390365,0.375549,0.004042171,0.03243912,0.1116325,0.04118929,0.1431258,0.02492319,0.1138705,0.4231252,0.01329269,0.03071132,0.009872907,0.002356294,0.000985475,0.1274437,0.09424327,0.1462012,2.01671,0.05311309,0.04263463,0.27515,0.1454226,7.893917,9.748714,20.19767,17.4102,33.56587,12.95483,26.92312,60.09829
10,0.01945763,0.03185445,0.02615119,0.01249613,0.01290321,0.04811182,0.006194719,0.002071398,0.03194702,0.02160118,0.01696329,0.001506262,0.01721749,0.002942508,0.06186707,0.001362965,0.01855362,0.01389221,0.01978127,0.006555548,1.685381E-05,0.03910423,7.490817E-06,0.001520249,0.03200229,0.0007916262,0.004884237,0.0004555976,0.003302912,3.288974E-05,0.01151308,7.026133E-05,0.003806678,0.008151653,0.0001580654,0.002025489,0.007841947,0.06530741,0.003933924,0.007441401,0.02348267,0.03546033,0.06060055,0.02088267,0.01960091,0.07851429,0.372251,0.02366012,0.3705092,0.004035717,0.03245933,0.1131471,0.04229355,0.144695,0.02496306,0.1145701,0.4144541,0.01509465,0.03404284,0.009752951,0.002364261,0.001001062,0.1257594,0.09457242,0.1465772,2.034492,0.05790204,0.04345945,0.2724913,0.1475514,7.759415,9.771049,20.27384,17.56044,33.47142,12.59139,26.80577,60.33344
11,0.01945363,0.03192714,0.02617886,0.0124886,0.01290521,0.04806136,0.006189165,0.00207822,0.03191932,0.02158735,0.01704174,0.001504308,0.0173048,0.002981524,0.06257383,0.001365373,0.01860619,0.01407429,0.01971477,0.006592334,2.040121E-05,0.0387338,9.184915E-06,0.001750325,0.03201257,0.0007966629,0.004878541,0.0004538397,0.003324713,3.287223E-05,0.01153994,7.109698E-05,0.003793924,0.008215557,0.0002027945,0.00219496,0.007861538,0.06536079,0.003963955,0.007521313,0.02393704,0.03588183,0.06071634,0.02082945,0.01982605,0.08083555,0.3755605,0.02389539,0.3718814,0.004029777,0.03248587,0.1143524,0.04304273,0.1459535,0.0249912,0.1143929,0.4209401,0.01649744,0.0390742,0.01032829,0.00239916,0.001028826,0.1321419,0.09699494,0.1477998,2.018146,0.06124493,0.04382053,0.2803213,0.1483554,7.910959,9.878813,20.1773,17.54421,33.11372,11.72983,26.44984,60.06081
12,0.01945406,0.03200039,0.02620675,0.01248098,0.01290659,0.04792888,0.006183811,0.002067157,0.03189274,0.02157203,0.01700683,0.001501946,0.01737801,0.003020181,0.06325478,0.001367929,0.01866039,0.01433603,0.01972612,0.006606593,2.451019E-05,0.03912617,1.047503E-05,0.001840494,0.03204841,0.0007933558,0.004876548,0.0004488558,0.003327413,3.283627E-05,0.01105517,6.647472E-05,0.003783218,0.008211366,0.0002078659,0.002352795,0.007865785,0.06537417,0.003979104,0.007514785,0.02461081,0.03657956,0.06114015,0.02083803,0.01980655,0.08278239,0.3791869,0.02431082,0.3766064,0.004007545,0.03216683,0.1142491,0.04300797,0.1465185,0.02501374,0.1137207,0.4320136,0.01704935,0.04457046,0.01170767,0.002465844,0.001064655,0.1407988,0.09947692,0.1490739,1.99575,0.06024287,0.04369706,0.2905413,0.1477322,8.140114,9.992293,19.97901,17.43832,32.41155,10.57461,25.79014,59.2087
13,0.01946615,0.03208371,0.02623387,0.01247442,0.01290855,0.04762857,0.006178161,0.002049256,0.03187616,0.02155541,0.0168451,0.001501115,0.01745305,0.003059134,0.06393622,0.00137045,0.01871295,0.01453177,0.01976824,0.006566562,2.789252E-05,0.03915676,1.15075E-05,0.001947603,0.03207717,0.000768276,0.004853567,0.0004355492,0.003273505,3.254895E-05,0.01091643,6.010323E-05,0.003777639,0.008115394,0.000177994,0.002341164,0.007840416,0.06528749,0.003954295,0.007406336,0.02530723,0.03731513,0.06168681,0.02086801,0.01954443,0.08310645,0.3803115,0.02479115,0.3825243,0.00397959,0.03175524,0.1123937,0.04205093,0.1456779,0.02503423,0.1128984,0.442008,0.0167934,0.04876635,0.01342335,0.002539479,0.001102387,0.1472978,0.1006635,0.1502733,1.982964,0.05501755,0.04300222,0.2971436,0.1453636,8.38055,10.02607,19.68926,17.29125,31.79158,9.662802,25.21151,57.69295
14,0.01948147,0.03217136,0.02625966,0.01246758,0.01291114,0.04727171,0.006172573,0.002029316,0.03186546,0.02153769,0.01662846,0.001501383,0.01753244,0.003098547,0.06462584,0.001372798,0.01876368,0.01471946,0.01982693,0.006509302,3.097067E-05,0.03913518,1.218578E-05,0.002038179,0.03210648,0.0007387784,0.00481779,0.0004215186,0.003197843,3.147661E-05,0.01072829,5.372262E-05,0.003774988,0.00797703,0.0001461551,0.002277494,0.007804854,0.06509039,0.003897269,0.007242675,0.02600142,0.03804701,0.06227161,0.02090295,0.01917345,0.08239055,0.3802629,0.02525822,0.3889875,0.003950067,0.03132463,0.1098409,0.04060537,0.1442538,0.02505405,0.1120419,0.4517039,0.01593719,0.05193433,0.01534378,0.002624617,0.001136748,0.1538403,0.1017871,0.151448,1.970356,0.04799475,0.04223307,0.3019991,0.1426731,8.578087,10.00141,19.33946,17.07414,31.44831,9.160865,24.88392,56.20614
15,0.01948672,0.03224696,0.02628396,0.01245909,0.01291383,0.04704101,0.006166648,0.002009495,0.03184935,0.02151922,0.01648067,0.0015009,0.01760541,0.003138354,0.06531676,0.001374881,0.01881345,0.01498562,0.01989598,0.006491574,3.393048E-05,0.039038,1.245709E-05,0.002097816,0.03215353,0.0007266717,0.004796722,0.000418908,0.003154639,3.058341E-05,0.01058099,4.841795E-05,0.003773239,0.007859546,0.0001407378,0.002314036,0.007802415,0.0649109,0.003835614,0.007078298,0.02655802,0.0386616,0.06283729,0.02096214,0.01880353,0.08218563,0.3832138,0.02563919,0.3944837,0.003921154,0.03088951,0.108435,0.03907445,0.1438055,0.02507337,0.1111897,0.4649984,0.01474704,0.05444467,0.01729935,0.002722651,0.001164554,0.1625349,0.1036643,0.1525279,1.942504,0.04179169,0.041467,0.3048216,0.1415332,8.69756,9.974513,18.98498,16.77987,31.68378,9.208449,25.21778,55.24641
16,0.01948539,0.03231154,0.02630723,0.01244915,0.01291672,0.04689199,0.00615941,0.001989447,0.03182575,0.02150028,0.01641424,0.001499378,0.01767019,0.003178604,0.06600469,0.00137683,0.0188621,0.01526501,0.01997013,0.006500716,3.528173E-05,0.03913687,1.233032E-05,0.002131393,0.03219648,0.0007341945,0.004799757,0.0004252073,0.003175677,3.041027E-05,0.01046217,4.465565E-05,0.003771394,0.007831006,0.0001818399,0.002497993,0.007818467,0.06480867,0.00379322,0.006980004,0.02696219,0.03918298,0.06336617,0.02102557,0.01871569,0.08411078,0.3874549,0.02592731,0.3979005,0.003893184,0.03045969,0.1083443,0.03794499,0.1438494,0.0250934,0.110387,0.4789173,0.01361969,0.05547497,0.0190226,0.002817546,0.00118135,0.1714228,0.10576,0.1533539,1.906365,0.0390146,0.04067695,0.3066666,0.1406427,8.794735,9.939301,18.78256,16.53293,32.33357,9.746654,25.95412,55.55826
17,0.01948258,0.03237119,0.02632579,0.01243856,0.01292012,0.04676059,0.006150414,0.001968783,0.03179917,0.02148119,0.01637547,0.001497878,0.01773936,0.003219882,0.06671019,0.001378183,0.01890894,0.01552551,0.0200507,0.006514122,3.457946E-05,0.03948634,1.18142E-05,0.002111421,0.03223457,0.0007473735,0.004813459,0.0004316242,0.003207065,3.078422E-05,0.01034947,4.17555E-05,0.003768945,0.007867539,0.0002143532,0.002638431,0.007836586,0.06476571,0.003779131,0.006965685,0.02705314,0.03949646,0.06371894,0.0210878,0.01884226,0.0866058,0.3911614,0.02595256,0.3991746,0.003866888,0.03004639,0.1085904,0.03770047,0.1438087,0.02511683,0.1099405,0.4909452,0.01270629,0.05615522,0.02086852,0.002929124,0.001192522,0.1794524,0.1078661,0.1539848,1.876075,0.03916063,0.04019806,0.3102279,0.1397899,8.862416,9.919218,18.82606,16.42532,32.82298,10.49252,26.41439,56.93518
18,0.01948315,0.0324314,0.02634283,0.01243468,0.01292543,0.04668271,0.006140329,0.00194796,0.03178224,0.02146469,0.01636177,0.001498636,0.01784296,0.0032633,0.06748824,0.001379686,0.01895279,0.0152285,0.02017542,0.006539623,3.126833E-05,0.04013951,9.785462E-06,0.001981752,0.0322702,0.0007657116,0.004862874,0.0004398439,0.00325266,3.15383E-05,0.01026331,3.930464E-05,0.003767806,0.007935253,0.000220645,0.002693388,0.007881748,0.06477778,0.003789056,0.00701859,0.0262336,0.03890892,0.06353772,0.02116088,0.01903901,0.08629777,0.3915251,0.02531554,0.3968887,0.003842547,0.02966088,0.1090965,0.03822295,0.1444719,0.0251516,0.1103712,0.4797427,0.01199095,0.05494416,0.02221925,0.003010014,0.001188621,0.1705174,0.1053844,0.1539779,1.882662,0.04134435,0.0403989,0.3117295,0.1403517,8.770797,9.974752,19.14592,16.51156,33.07219,11.31936,26.64494,58.20897
19,0.01948698,0.03250048,0.02635979,0.01243376,0.01293307,0.04662637,0.006123174,0.001925215,0.03177484,0.02144974,0.0163178,0.00150082,0.01796131,0.003308984,0.06831804,0.001379073,0.01897019,0.01464984,0.02031253,0.006566377,2.517422E-05,0.04008171,7.198521E-06,0.001852866,0.03227451,0.0007803348,0.004907425,0.0004426272,0.003283824,3.211313E-05,0.01014358,3.700709E-05,0.003767371,0.00799849,0.0002106065,0.002670742,0.007901226,0.06480505,0.003812198,0.007103784,0.0251427,0.03784857,0.06327121,0.02122107,0.01915327,0.08384322,0.3896616,0.02443367,0.3926245,0.003819295,0.0292823,0.1096117,0.03915368,0.1442468,0.02520179,0.111234,0.4613083,0.01136179,0.05153064,0.02261003,0.003004474,0.001152245,0.1558294,0.1011229,0.1512475,1.912864,0.04459892,0.04076397,0.3077676,0.1415398,8.576775,10.01163,19.55271,16.73597,33.22967,12.15528,26.73979,59.07772
20,0.01949391,0.03258101,0.02638045,0.01243441,0.01294271,0.04657584,0.00609899,0.001900708,0.03177563,0.02143681,0.01623643,0.001503936,0.01808764,0.00335499,0.06918819,0.001376653,0.01895999,0.01401783,0.02044256,0.006588778,1.894306E-05,0.03974416,5.140238E-06,0.001733884,0.03222554,0.0007890601,0.004940476,0.0004400273,0.003294982,3.250885E-05,0.01000904,3.472456E-05,0.003766971,0.008037909,0.0001888449,0.002548565,0.007872547,0.06482698,0.003842714,0.007200213,0.0240122,0.03652819,0.06302597,0.02124159,0.0191771,0.08077331,0.3855743,0.02349193,0.3867149,0.003796779,0.02889426,0.1101477,0.04027117,0.1430553,0.02526467,0.1123327,0.4418399,0.01083568,0.04516357,0.02175948,0.002940109,0.001102098,0.1404025,0.09641065,0.14678,1.960819,0.04853363,0.04094762,0.2970346,0.1429006,8.29956,9.936853,19.924,17.05884,33.37014,12.75603,26.78736,59.67507
