TimeStep,"Blacktip Shark|Blacktip shark","Dusky Shark|Dusky shark","Sandbar Shark|Sandbar shark","Large Coastal Sharks|Large coastal sharks","Large Oceanic Sharks|Large oceanic sharks","Atlantic Sharpnose Shark|Atlantic sharpnose shark","Small Coastal Sharks|Small coastal sharks","Yellowfin Tuna|Yellowfin tuna","Bluefin Tuna|Bluefin tuna","Other Tunas|Other tunas",Billfish|Billfish,Swordfish|Swordfish,"Pelagic Coastal Piscivores|Pelagic coastal piscivores",Amberjack|Amberjack,Cobia|Cobia,"King Mackerel (0-1)|King mackerel (0-1yr)","King Mackerel (1+)|King mackerel (1+yr)","Spanish Mackerel (0-1)|Spanish mackerel (0-1yr)","Spanish Mackerel (1+)|Spanish mackerel (1+yr)",Skates-rays|Skates-rays,"Gag grouper (0-3yr)|Gag grouper (0-3yr)","Gag grouper (3+yr)|Gag grouper (3+yr)","Red grouper (0-3yr)|Red grouper (0-3yr)","Red grouper (3+yr)|Red grouper (3+yr)","Yellowedge grouper (0-3yr)|Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)|Yellowedge grouper (3+yr)","Goliath grouper|Goliath grouper","Deep-water grouper|Deep-water grouper","Shallow-water grouper|Shallow-water grouper","Red snapper (0yr)|Red snapper (0yr)","Red snapper (1-2yr)|Red snapper (1-2yr)","Red snapper (3+yr)|Red snapper (3+yr)","Vermilion snapper|Vermilion snapper","Mutton snapper|Mutton snapper","Other snapper|Other snapper","Inshore coastal piscivores|Inshore coastal piscivores","Sea trout|Sea trout","Oceanic piscivores|Oceanic piscivores","Benthic piscivores|Benthic piscivores","Reef piscivores|Reef piscivores","Reef invertebrate feeders|Reef invertebrate feeders","Demersal coastal invertebrate feeders|Demersal coastal invertebrate feeders","Red drum|Red drum","Benthic coastal invertebrate feeders|Benthic coastal invertebrate feeders",Tilefish|Tilefish,"Gray triggerfish|Gray triggerfish","Coastal omnivores|Coastal omnivores","Reef omnivores|Reef omnivores","Surface pelagics|Surface pelagics",Sardine-herring-scad|Sardine-herring-scad,"Menhaden (0yr)|Menhaden (0yr)","Menhaden (1yr)|Menhaden (1yr)","Menhaden (2yr)|Menhaden (2yr)","Menhaden (3yr)|Menhaden (3yr)","Menhaden (4yr)|Menhaden (4yr)",Anchovy-silverside-killifish|Anchovy-silverside-killifish,Mullet|Mullet,Butterfish|Butterfish,Cephalopod|Cephalopod,"Pink shrimp|Pink shrimp","Brown shrimp|Brown shrimp","White shrimp|White shrimp",Crab|Crab,"Sessile epifauna|Sessile epifauna","Mobile epifauna|Mobile epifauna",Zooplankton|Zooplankton
1,0.0005820993,0.0001106966,9.09803E-05,0.001028147,1.41818E-06,0.003575829,0.000244841,0.003696035,2.708939E-05,0.002993147,0.0007517507,0.005756177,0.005566649,0.004487289,0.001658572,0,0.001584753,1.412407E-05,0.0001902466,6.834531E-05,0.0001989481,0.001483711,0,0.001724031,2.210931E-09,0.0003918119,4.353621E-05,0.0005389758,0.001838469,0.0002304805,0.0005786716,0.003148404,0.005753724,0.0008515589,0.003019025,0.006417119,0.01866788,0.0005064195,0.002215901,0.0004534744,0.00664708,0.01575186,0.003232554,0.01623851,3.713651E-05,0.005936139,0.0108056,0.0001328621,0.0004449411,0.0005246169,0.0001992021,0.01299231,0.006427045,0.0006546635,4.059313E-05,2.903963E-07,0.01986937,0.003892557,0.0005184555,0.01818898,0.1207534,0.05643777,0.08682941,0.02652897,0.03123755,0.00275817
2,0.000582289,0.0001106104,9.155132E-05,0.001028214,1.417113E-06,0.003621373,0.0002448038,0.003708962,2.758477E-05,0.003025354,0.0007524395,0.005773681,0.00585177,0.004481794,0.001644306,0,0.001482058,1.411947E-05,0.0002061339,6.863402E-05,0.0001932419,0.001476075,0,0.001700885,2.181592E-09,0.000402273,4.202114E-05,0.0005369463,0.001794795,0.0001970116,0.0005743313,0.003136389,0.005754796,0.0008457587,0.002963831,0.006686079,0.01923309,0.0005152487,0.002214162,0.0004448018,0.006755676,0.01592926,0.003343275,0.01662468,3.698998E-05,0.005918513,0.01055984,0.0001299769,0.0004423138,0.0005656558,0.0001733319,0.01324892,0.006452897,0.0006158074,4.27834E-05,3.128477E-07,0.02021871,0.003929022,0.0005195572,0.01623545,0.1189689,0.05763429,0.08496512,0.02755618,0.03133963,0.002634896
3,0.0005800953,0.0001106903,9.219223E-05,0.001028529,1.415961E-06,0.00364772,0.0002450166,0.003723319,2.805453E-05,0.003060052,0.0007540495,0.005790755,0.006101716,0.004471106,0.001622263,0,0.001590951,1.405875E-05,0.0002167982,6.875929E-05,0.0001878731,0.001464021,0,0.001665542,2.108517E-09,0.0003984706,4.123097E-05,0.0005342764,0.001738745,0.0001615992,0.000557269,0.003120871,0.005755919,0.0008305831,0.002880057,0.006959361,0.01979053,0.0005239305,0.002219281,0.0004323239,0.006727812,0.01608056,0.003454619,0.01702096,3.689999E-05,0.005920635,0.01024202,0.0001254504,0.0004379073,0.0006052336,0.0001576606,0.01584241,0.007572158,0.0006593817,5.185032E-05,3.361988E-07,0.02054692,0.003969453,0.0005167946,0.01406648,0.1170332,0.05825247,0.08292484,0.02827881,0.03112951,0.002517853
4,0.0005779885,0.0001108354,9.268468E-05,0.001028697,1.414752E-06,0.00361976,0.0002451109,0.003739281,2.852807E-05,0.003098246,0.0007559415,0.005808797,0.006172174,0.004453397,0.001615724,0,0.001742906,1.389616E-05,0.0002259825,6.862759E-05,0.0001859277,0.001456077,0,0.001644793,2.053438E-09,0.0003956318,4.112628E-05,0.0005316502,0.001698641,0.0001552112,0.0005645139,0.003118478,0.005747946,0.0008145435,0.00279775,0.007189997,0.02028653,0.0005324513,0.002220626,0.0004206472,0.006785468,0.01630202,0.003550112,0.01737941,3.681108E-05,0.005925223,0.01009077,0.0001208312,0.0004367012,0.0006371847,0.0001426504,0.01898118,0.009073869,0.0007282977,6.443776E-05,3.603223E-07,0.02101757,0.004006975,0.0005073859,0.01239984,0.1150109,0.05828062,0.08203046,0.02869536,0.03078062,0.002431057
5,0.0005790505,0.0001111456,9.334047E-05,0.001028586,1.41351E-06,0.003596616,0.0002449889,0.003756997,2.900519E-05,0.003140257,0.000758266,0.005827466,0.006263711,0.004436396,0.001624813,0,0.001758171,1.351403E-05,0.0002368219,6.886449E-05,0.0001854436,0.001455648,0,0.001656224,2.047625E-09,0.0003933706,4.17395E-05,0.0005293229,0.001692179,0.0001998064,0.0006073487,0.00312338,0.005732823,0.0008028337,0.002744661,0.007358633,0.02073492,0.0005408786,0.00221853,0.0004188438,0.00702754,0.01654258,0.003624932,0.01768473,3.672564E-05,0.005929212,0.01010222,0.0001172986,0.0004371978,0.0006655422,0.0001295983,0.018491,0.009048413,0.000720073,7.194566E-05,3.839939E-07,0.0215332,0.0040412,0.0004951032,0.01165878,0.1131793,0.05817108,0.08134268,0.02911426,0.03040829,0.002397918
6,0.000582478,0.0001117667,9.430293E-05,0.001028371,1.412262E-06,0.003602738,0.0002448292,0.003779366,2.95575E-05,0.003193372,0.0007604745,0.005852751,0.006422149,0.004422508,0.001636899,0,0.001755188,1.538283E-05,0.0002629087,6.938017E-05,0.0001867227,0.001458906,0,0.001674195,2.073148E-09,0.0003914916,4.267155E-05,0.000527424,0.001708952,0.0002348941,0.0006397145,0.003129107,0.005718497,0.000796637,0.002734676,0.007392866,0.02102698,0.0005484382,0.002216496,0.000423826,0.007317081,0.01678139,0.003640912,0.01791567,3.665506E-05,0.005934346,0.01016198,0.0001163251,0.0004374126,0.0006904944,0.000119547,0.01763877,0.008986156,0.0007145676,7.926874E-05,4.059839E-07,0.02206311,0.004068564,0.0004849539,0.01164941,0.1123341,0.05850513,0.08070686,0.0292567,0.03018844,0.002426345
7,0.0005855166,0.0001124322,9.498754E-05,0.001028508,1.411228E-06,0.003612442,0.0002449473,0.003813052,3.005219E-05,0.003252956,0.0007623205,0.005884751,0.006252278,0.004427552,0.001647879,0,0.001782394,1.456172E-05,0.0002664345,6.988835E-05,0.0001911038,0.001473411,0,0.001700565,2.118933E-09,0.0003912736,4.377659E-05,0.000526382,0.001736385,0.0002415444,0.0006517575,0.003145436,0.005714155,0.0007966396,0.002759976,0.007080858,0.02055694,0.0005406983,0.002220744,0.0004307473,0.007296809,0.01683349,0.003520254,0.01788481,3.662309E-05,0.005943305,0.01025075,0.0001176474,0.0004401232,0.0006514625,0.0001142457,0.01691119,0.008961347,0.0007201302,8.652341E-05,3.827894E-07,0.02137575,0.004073707,0.0004826343,0.01225678,0.113264,0.0592684,0.08114661,0.02832986,0.0304092,0.002519539
8,0.0005847706,0.0001126381,9.50549E-05,0.001028971,1.410332E-06,0.003598999,0.0002452657,0.00384731,3.021093E-05,0.003301839,0.0007626413,0.005899308,0.005611115,0.004444407,0.001648325,0,0.00177816,1.087553E-05,0.000246456,7.095157E-05,0.0001952895,0.001486454,0,0.001720282,2.151396E-09,0.0003891936,4.481386E-05,0.0005260418,0.001765647,0.0002305656,0.0006451494,0.003150645,0.005720164,0.0008007307,0.002804156,0.006661264,0.01972925,0.0005297215,0.002231627,0.00043516,0.006927509,0.01674632,0.003342348,0.0176544,3.663264E-05,0.00595597,0.01032248,0.0001203548,0.0004401087,0.0005816442,0.0001141749,0.01764413,0.009071584,0.0007518161,9.588416E-05,3.416354E-07,0.02023367,0.004011886,0.000486765,0.01326795,0.1150009,0.05985418,0.08200956,0.02702418,0.03082422,0.002645439
9,0.0005820136,0.0001121462,9.472456E-05,0.001029687,1.40961E-06,0.00356765,0.0002457222,0.00387378,3.010047E-05,0.003333028,0.0007607586,0.005881281,0.005102158,0.004462544,0.001642165,0,0.001768428,9.3827E-06,0.0001603673,7.254218E-05,0.0001998219,0.001495953,0,0.001730158,2.172716E-09,0.0003859442,4.558435E-05,0.0005263182,0.001790625,0.0002069213,0.0006145901,0.003136043,0.005733846,0.0008074144,0.002858342,0.006231621,0.01868375,0.0005190484,0.00224926,0.0004370017,0.006471582,0.01647537,0.003150918,0.01720066,3.667076E-05,0.005968454,0.01037704,0.0001239354,0.0004368419,0.0005242132,0.000119314,0.01780823,0.008565878,0.0007420692,9.842135E-05,2.99529E-07,0.01897282,0.003905134,0.0004973021,0.01460688,0.1164792,0.05967302,0.08287887,0.0256242,0.03097822,0.002769992
10,0.0005800346,0.0001112147,9.422555E-05,0.001030164,1.409016E-06,0.003541945,0.0002460047,0.003893967,3.016961E-05,0.003356718,0.0007585191,0.005869278,0.004803749,0.004467889,0.001645648,0,0.001726327,9.260138E-06,0.0001279233,7.199281E-05,0.0002042102,0.001501114,0,0.001728788,2.183701E-09,0.0003845534,4.557139E-05,0.0005276094,0.001799217,0.000167206,0.000553002,0.00307037,0.005754444,0.0008160263,0.002915816,0.005819535,0.01753723,0.0005086013,0.002264336,0.0004413952,0.006083516,0.01596092,0.002982139,0.01652185,3.670577E-05,0.005976279,0.01051905,0.0001277275,0.0004378576,0.0004702031,0.0001289776,0.01649491,0.007718825,0.0007188216,9.718662E-05,2.58748E-07,0.01778807,0.003831943,0.0005117265,0.01628709,0.1184001,0.05652473,0.0847575,0.02417167,0.03036185,0.002862735
