TimeStep,"Blacktip Shark|Blacktip shark","Dusky Shark|Dusky shark","Sandbar Shark|Sandbar shark","Large Coastal Sharks|Large coastal sharks","Large Oceanic Sharks|Large oceanic sharks","Atlantic Sharpnose Shark|Atlantic sharpnose shark","Small Coastal Sharks|Small coastal sharks","Yellowfin Tuna|Yellowfin tuna","Bluefin Tuna|Bluefin tuna","Other Tunas|Other tunas",Billfish|Billfish,Swordfish|Swordfish,"Pelagic Coastal Piscivores|Pelagic coastal piscivores",Amberjack|Amberjack,Cobia|Cobia,"King Mackerel (1+)|King mackerel (1+yr)","Spanish Mackerel (0-1)|Spanish mackerel (0-1yr)","Spanish Mackerel (1+)|Spanish mackerel (1+yr)",Skates-rays|Skates-rays,"Gag grouper (0-3yr)|Gag grouper (0-3yr)","Gag grouper (3+yr)|Gag grouper (3+yr)","Red grouper (3+yr)|Red grouper (3+yr)","Yellowedge grouper (0-3yr)|Yellowedge grouper (0-3yr)","Yellowedge grouper (3+yr)|Yellowedge grouper (3+yr)","Goliath grouper|Goliath grouper","Deep-water grouper|Deep-water grouper","Shallow-water grouper|Shallow-water grouper","Red snapper (0yr)|Red snapper (0yr)","Red snapper (1-2yr)|Red snapper (1-2yr)","Red snapper (3+yr)|Red snapper (3+yr)","Vermilion snapper|Vermilion snapper","Mutton snapper|Mutton snapper","Other snapper|Other snapper","Inshore coastal piscivores|Inshore coastal piscivores","Sea trout|Sea trout","Oceanic piscivores|Oceanic piscivores","Benthic piscivores|Benthic piscivores","Reef piscivores|Reef piscivores","Reef invertebrate feeders|Reef invertebrate feeders","Demersal coastal invertebrate feeders|Demersal coastal invertebrate feeders","Red drum|Red drum","Benthic coastal invertebrate feeders|Benthic coastal invertebrate feeders",Tilefish|Tilefish,"Gray triggerfish|Gray triggerfish","Coastal omnivores|Coastal omnivores","Reef omnivores|Reef omnivores","Surface pelagics|Surface pelagics",Sardine-herring-scad|Sardine-herring-scad,"Menhaden (0yr)|Menhaden (0yr)","Menhaden (1yr)|Menhaden (1yr)","Menhaden (2yr)|Menhaden (2yr)","Menhaden (3yr)|Menhaden (3yr)","Menhaden (4yr)|Menhaden (4yr)",Anchovy-silverside-killifish|Anchovy-silverside-killifish,Mullet|Mullet,Butterfish|Butterfish,Cephalopod|Cephalopod,"Pink shrimp|Pink shrimp","Brown shrimp|Brown shrimp","White shrimp|White shrimp",Crab|Crab,"Sessile epifauna|Sessile epifauna","Mobile epifauna|Mobile epifauna",Zooplankton|Zooplankton
1,0.0003545598,0.0001084015,5.104041E-05,0.000504254,1.41818E-06,0.0003237949,8.408296E-05,0.003645681,1.559396E-05,0.002971573,0.0007147983,0.005732295,0.005213535,0.004384886,0.001240433,0.001581059,1.170537E-06,9.446314E-05,5.433018E-05,0.0001833749,0.001481743,0.001616837,2.210931E-09,0.0003918119,4.353586E-05,0.0005389758,0.00167673,1.346987E-09,0.0005326744,0.003148404,0.001264323,0.0008444936,0.00291339,0.006291898,0.01683404,0.0005062976,0.001950026,0.0004464321,0.005952215,0.0119032,0.003165532,0.009250257,3.550515E-05,0.001264049,0.009980764,0.0001224718,0.0004449411,0.0005240309,0.0001992021,0.01299231,0.006427045,0.0006546635,4.024663E-05,2.903963E-07,0.01986278,0.002679109,0.0005184555,0.01818898,0.1207534,0.05643777,0.08682941,0.02652897,0.03123755,0.00275817
2,0.0003546753,0.0001083171,5.136076E-05,0.000504287,1.417113E-06,0.000327919,8.407021E-05,0.003658432,1.587912E-05,0.00300355,0.0007154534,0.005749725,0.005480571,0.004379516,0.001229763,0.001478604,1.170157E-06,0.0001023517,5.45597E-05,0.0001781153,0.001474117,0.001595131,2.181592E-09,0.000402273,4.202081E-05,0.0005369463,0.001636899,1.151386E-09,0.0005286791,0.003136389,0.001264559,0.0008387414,0.002860125,0.006555611,0.01734371,0.0005151248,0.001948496,0.0004378943,0.006049457,0.01203725,0.003273957,0.009470231,3.536504E-05,0.001260296,0.009753761,0.0001198122,0.0004423138,0.000565024,0.0001733319,0.01324892,0.006452897,0.0006158074,4.241821E-05,3.128477E-07,0.02021201,0.002704206,0.0005195572,0.01623545,0.1189689,0.05763429,0.08496512,0.02755618,0.03133963,0.002634896
3,0.0003533391,0.0001083953,5.172032E-05,0.0005044413,1.415961E-06,0.0003303047,8.414327E-05,0.003672594,1.614954E-05,0.003037998,0.0007169842,0.005766728,0.005714662,0.004369071,0.001213277,0.001587243,1.165124E-06,0.0001076468,5.465927E-05,0.0001731668,0.001462079,0.001561986,2.108517E-09,0.0003984706,4.123064E-05,0.0005342764,0.001585779,9.444274E-10,0.0005129731,0.003120871,0.001264806,0.0008236917,0.002779283,0.006823561,0.0178464,0.0005238046,0.001953,0.00042561,0.006024507,0.01215158,0.003382992,0.009695978,3.5279E-05,0.001260748,0.009460204,0.0001156397,0.0004379073,0.0006045577,0.0001576606,0.01584241,0.007572158,0.0006593817,5.140775E-05,3.361988E-07,0.02054011,0.002732033,0.0005167946,0.01406648,0.1170332,0.05825247,0.08292484,0.02827881,0.03112951,0.002517853
4,0.0003520558,0.0001085373,5.199658E-05,0.0005045239,1.414752E-06,0.0003277729,8.417566E-05,0.003688339,1.642213E-05,0.003075915,0.0007187831,0.005784695,0.005780649,0.004351768,0.001208387,0.001738844,1.151649E-06,0.0001122071,5.455458E-05,0.0001713736,0.001454146,0.001542526,2.053438E-09,0.0003956318,4.112595E-05,0.0005316502,0.001549204,9.070941E-10,0.000519642,0.003118478,0.001263054,0.0008077853,0.002699855,0.007049695,0.01829368,0.0005323231,0.001954183,0.0004141149,0.006076134,0.01231893,0.003476506,0.009900168,3.519401E-05,0.001261725,0.009320501,0.0001113817,0.0004367012,0.0006364732,0.0001426504,0.01898118,0.009073869,0.0007282977,6.388774E-05,3.603223E-07,0.0210106,0.002757859,0.0005073859,0.01239984,0.1150109,0.05828062,0.08203046,0.02869536,0.03078062,0.002431057
5,0.0003527026,0.0001088411,5.236448E-05,0.0005044695,1.41351E-06,0.0003256773,8.413378E-05,0.003705814,1.669678E-05,0.003117625,0.0007209934,0.005803288,0.00586638,0.004335155,0.001215185,0.001754074,1.11998E-06,0.0001175892,5.47429E-05,0.0001709274,0.001453717,0.001553246,2.047625E-09,0.0003933706,4.173916E-05,0.0005293229,0.00154331,1.16772E-09,0.0005590721,0.00312338,0.001259731,0.0007961727,0.002648624,0.007215042,0.01869802,0.0005407485,0.00195234,0.0004123395,0.006292904,0.01250072,0.003549774,0.01007409,3.511232E-05,0.001262574,0.009331076,0.0001081254,0.0004371978,0.0006647988,0.0001295983,0.018491,0.009048413,0.000720073,7.133156E-05,3.839939E-07,0.02152605,0.002781415,0.0004951032,0.01165878,0.1131793,0.05817108,0.08134268,0.02911426,0.03040829,0.002397918
6,0.0003547906,0.0001094494,5.290442E-05,0.0005043639,1.412262E-06,0.0003262316,8.407892E-05,0.003727878,1.701473E-05,0.003170357,0.0007230933,0.005828468,0.00601477,0.004321583,0.001224224,0.001751097,1.274858E-06,0.000130542,5.515283E-05,0.0001721064,0.001456971,0.0015701,2.073148E-09,0.0003914916,4.267119E-05,0.000527424,0.001558608,1.372782E-09,0.0005888652,0.003129107,0.001256583,0.0007900272,0.002638988,0.007248607,0.01896139,0.0005483063,0.001950549,0.0004172441,0.006552175,0.01268118,0.003565422,0.01020564,3.504484E-05,0.001263668,0.00938627,0.0001072281,0.0004374126,0.0006897233,0.000119547,0.01763877,0.008986156,0.0007145676,7.859211E-05,4.059839E-07,0.02205578,0.002800248,0.0004849539,0.01164941,0.1123341,0.05850513,0.08070686,0.0292567,0.03018844,0.002426345
7,0.0003566412,0.0001101011,5.32885E-05,0.0005044311,1.411228E-06,0.0003271102,8.411948E-05,0.003761105,1.729948E-05,0.003229511,0.0007248487,0.005860336,0.005855673,0.004326511,0.001232435,0.00177824,1.206808E-06,0.0001322927,5.55568E-05,0.0001761446,0.001471456,0.00159483,2.118933E-09,0.0003912736,4.377624E-05,0.000526382,0.001583628,1.411647E-09,0.0005999509,0.003145436,0.001255629,0.00079003,0.002663403,0.006942686,0.01853752,0.0005405684,0.001954288,0.0004240581,0.006534022,0.01272055,0.003447266,0.01018807,3.501428E-05,0.001265575,0.00946827,0.0001084469,0.0004401232,0.0006507348,0.0001142457,0.01691119,0.008961347,0.0007201302,8.578489E-05,3.827894E-07,0.02136865,0.002803787,0.0004826343,0.01225678,0.113264,0.0592684,0.08114661,0.02832986,0.0304092,0.002519539
8,0.0003561869,0.0001103027,5.332628E-05,0.0005046581,1.410332E-06,0.000325893,8.422881E-05,0.003794897,1.739087E-05,0.003278042,0.0007251536,0.005874833,0.005255181,0.004342982,0.001232769,0.001774016,9.013137E-07,0.0001223727,5.6402E-05,0.0001800026,0.001484482,0.001613321,2.151396E-09,0.0003891936,4.481349E-05,0.0005260418,0.001610315,1.347484E-09,0.000593868,0.003150645,0.001256949,0.000794087,0.002706038,0.00653128,0.01779114,0.0005295941,0.001963864,0.0004284021,0.006203328,0.01265468,0.003273049,0.01005681,3.50234E-05,0.001268272,0.009534516,0.0001109425,0.0004401087,0.0005809946,0.0001141749,0.01764413,0.009071584,0.0007518161,9.50657E-05,3.416354E-07,0.02022696,0.002761238,0.000486765,0.01326795,0.1150009,0.05985418,0.08200956,0.02702418,0.03082422,0.002645439
9,0.0003545075,0.000109821,5.314095E-05,0.0005050091,1.40961E-06,0.0003230543,8.438563E-05,0.003821006,1.732728E-05,0.003309006,0.0007233637,0.00585688,0.004778509,0.004360706,0.001228162,0.001764306,7.775949E-07,7.962715E-05,5.766643E-05,0.0001841803,0.001493969,0.001622583,2.172716E-09,0.0003859442,4.558399E-05,0.0005263182,0.001633095,1.209301E-09,0.0005657378,0.003136043,0.001259956,0.0008007152,0.002758328,0.00611002,0.01684835,0.0005189235,0.001979382,0.0004302153,0.005795061,0.01244993,0.003085589,0.009798343,3.505985E-05,0.001270931,0.009584922,0.0001142431,0.0004368419,0.0005236277,0.000119314,0.01780823,0.008565878,0.0007420692,9.758127E-05,2.99529E-07,0.01896653,0.002687764,0.0004973021,0.01460688,0.1164792,0.05967302,0.08287887,0.0256242,0.03097822,0.002769992
10,0.0003533021,0.0001089088,5.286102E-05,0.0005052434,1.409016E-06,0.0003207267,8.448261E-05,0.003840918,1.736708E-05,0.003332524,0.0007212341,0.005844926,0.00449903,0.004365929,0.001230766,0.001722303,7.674374E-07,6.351778E-05,5.722972E-05,0.000188225,0.001499123,0.001621299,2.183701E-09,0.0003845534,4.557103E-05,0.0005276094,0.001640932,9.771947E-10,0.0005090451,0.00307037,0.001264482,0.0008092557,0.00281379,0.005705975,0.01581445,0.0005084791,0.001992649,0.0004345404,0.005447563,0.01206117,0.002920309,0.009411655,3.509333E-05,0.001272597,0.009716086,0.0001177387,0.0004378576,0.000469678,0.0001289776,0.01649491,0.007718825,0.0007188216,9.635709E-05,2.58748E-07,0.01778216,0.002637389,0.0005117265,0.01628709,0.1184001,0.05652473,0.0847575,0.02417167,0.03036185,0.002862735
