"group.names","num"
"Coastal.dolphins",1
"Offshore.dolphins",2
"Baleen.whales",3
"Seabird",4
"Sea.turtle",5
"Blacktip.shark",6
"Dusky.shark",7
"Sandbar.shark",8
"Large.coastal.sharks",9
"Large.oceanic.sharks",10
"Atlantic.sharpnose.shark",11
"Small.coastal.sharks",12
"Yellowfin.tuna",13
"Bluefin.tuna",14
"Other.tunas",15
"Billfish",16
"Swordfish",17
"Pelagic.coastal.piscivores",18
"Amberjack",19
"Cobia",20
"King.mackerel...1yr.",21
"King.mackerel..1.yr.",22
"Spanish.mackerel...1yr.",23
"Spanish.mackerel..1.yr.",24
"Skates.rays",25
"Gag.grouper...3yr.",26
"Gag.grouper..3.yr.",27
"Red.grouper...3yr.",28
"Red.grouper..3.yr.",29
"Yellowedge.grouper...3yr.",30
"Yellowedge.grouper..3.yr.",31
"Goliath.grouper",32
"Deep.water.grouper",33
"Shallow.water.grouper",34
"Red.snapper..yr.",35
"Red.snapper..1.2yr.",36
"Red.snapper..3.yr.",37
"Vermilion.snapper",38
"Mutton.snapper",39
"Other.snapper",40
"Inshore.coastal.piscivores",41
"Sea.trout",42
"Oceanic.piscivores",43
"Benthic.piscivores",44
"Reef.piscivores",45
"Reef.invertebrate.feeders",46
"Demersal.coastal.invertebrate.feeders",47
"Red.drum",48
"Benthic.coastal.invertebrate.feeders",49
"Tilefish",50
"Gray.triggerfish",51
"Coastal.omnivores",52
"Reef.omnivores",53
"Surface.pelagics",54
"Large.oceanic.planktivores",55
"Oceanic.planktivores",56
"Sardine.herring.scad",57
"Menhaden..yr.",58
"Menhaden..1yr.",59
"Menhaden..2yr.",60
"Menhaden..3yr.",61
"Menhaden..4yr.",62
"Anchovy.silverside.killifish",63
"Mullet",64
"Butterfish",65
"Cephalopod",66
"Pink.shrimp",67
"Brown.shrimp",68
"White.shrimp",69
"Crab",70
"Sessile.epifauna",71
"Mobile.epifauna",72
"Zooplankton",73
"Infauna",74
"Algae",75
"Seagrass",76
"Phytoplankton",77
"Detritus",78
