,Group name,Base dispersal rate,IBM dispersal in bad habitat (multiplier),Rel. vul to pred. in bad hab.,Rel. move speed to cell fitness (multiplier),Is advected (True/False),Is migratory (True/False),Barrier avoidance weight,Mig. in area movement
1,Coastal dolphins,267,5,2,0,FALSE,FALSE,,
2,Offshore dolphins,267,5,2,0,FALSE,FALSE,,
3,Baleen whales,1005,5,2,0,FALSE,FALSE,,
4,Seabird,1005,5,2,0,FALSE,FALSE,,
5,Sea turtle,1005,5,2,0,FALSE,FALSE,,
6,Blacktip shark,300,5,2,0,FALSE,FALSE,,
7,Dusky shark,422,5,2,0,FALSE,FALSE,,
8,Sandbar shark,693,5,2,0,FALSE,FALSE,,
9,Large coastal sharks,592,5,2,0,FALSE,FALSE,,
10,Large oceanic sharks,622,5,2,0,FALSE,FALSE,,
11,Atlantic sharpnose shark,738,5,2,0,FALSE,FALSE,,
12,Small coastal sharks,241,5,2,0,FALSE,FALSE,,
13,Yellowfin tuna,267,5,2,0,FALSE,FALSE,,
14,Bluefin tuna,619,5,2,0,FALSE,FALSE,,
15,Other tunas,753,5,2,0,FALSE,FALSE,,
16,Billfish,410,5,2,0,FALSE,FALSE,,
17,Swordfish,878,5,2,0,FALSE,FALSE,,
18,Pelagic coastal piscivores,1005,5,2,0,FALSE,FALSE,,
19,Amberjack,199,5,2,0,FALSE,FALSE,,
20,Cobia,320,5,2,0,FALSE,FALSE,,
21,King mackerel (0-1yr),10000,5,1,0,FALSE,FALSE,,
22,King mackerel (1+yr),10000,5,1,0,FALSE,FALSE,,
23,Spanish mackerel (0-1yr),10000,5,1,0,FALSE,FALSE,,
24,Spanish mackerel (1+yr),10000,5,1,0,FALSE,FALSE,,
25,Skates-rays,381,5,2,0,FALSE,FALSE,,
26,Gag grouper (0-3yr),622,5,2,0,FALSE,FALSE,,
27,Gag grouper (3+yr),13,5,2,0,FALSE,FALSE,,
28,Red grouper (0-3yr),36,5,2,0,FALSE,FALSE,,
29,Red grouper (3+yr),12,5,2,0,FALSE,FALSE,,
30,Yellowedge grouper (0-3yr),36,5,2,0,FALSE,FALSE,,
31,Yellowedge grouper (3+yr),9,5,2,0,FALSE,FALSE,,
32,Goliath grouper,34,5,2,0,FALSE,FALSE,,
33,Deep-water grouper,66,5,2,0,FALSE,FALSE,,
34,Shallow-water grouper,38,5,2,0,FALSE,FALSE,,
35,Red snapper (0yr),31,5,2,0,FALSE,FALSE,,
36,Red snapper (1-2yr),5,5,2,0,FALSE,FALSE,,
37,Red snapper (3+yr),40,5,2,0,FALSE,FALSE,,
38,Vermilion snapper,40,5,2,0,FALSE,FALSE,,
39,Mutton snapper,36,5,2,0,FALSE,FALSE,,
40,Other snapper,38,5,2,0,FALSE,FALSE,,
41,Inshore coastal piscivores,37,5,2,0,FALSE,FALSE,,
42,Sea trout,30,5,2,0,FALSE,FALSE,,
43,Oceanic piscivores,29,5,2,0,FALSE,FALSE,,
44,Benthic piscivores,55,5,2,0,FALSE,FALSE,,
45,Reef piscivores,26,5,2,0,FALSE,FALSE,,
46,Reef invertebrate feeders,41,5,2,0,FALSE,FALSE,,
47,Demersal coastal invertebrate feeders,27,5,2,0,FALSE,FALSE,,
48,Red drum,44,5,2,0,FALSE,FALSE,,
49,Benthic coastal invertebrate feeders,56,5,2,0,FALSE,FALSE,,
50,Tilefish,17,5,2,0,FALSE,FALSE,,
51,Gray triggerfish,38,5,2,0,FALSE,FALSE,,
52,Coastal omnivores,34,5,2,0,FALSE,FALSE,,
53,Reef omnivores,23,5,2,0,FALSE,FALSE,,
54,Surface pelagics,26,5,2,0,FALSE,FALSE,,
55,Large oceanic planktivores,135,5,2,0,FALSE,FALSE,,
56,Oceanic planktivores,1285,5,2,0,FALSE,FALSE,,
57,Sardine-herring-scad,300,5,2,0,FALSE,FALSE,,
58,Menhaden (0yr),10000,5,1,0,FALSE,FALSE,,
59,Menhaden (1yr),10000,5,1,0,FALSE,FALSE,,
60,Menhaden (2yr),10000,5,1,0,FALSE,FALSE,,
61,Menhaden (3yr),10000,5,1,0,FALSE,FALSE,,
62,Menhaden (4yr),10000,5,1,0,FALSE,FALSE,,
63,Anchovy-silverside-killifish,110,50,2,0,FALSE,FALSE,,
64,Mullet,62,50,2,0,FALSE,FALSE,,
65,Butterfish,30,5,2,0,FALSE,FALSE,,
66,Cephalopod,25,5,2,0,FALSE,FALSE,,
67,Pink shrimp,30,5,2,0,FALSE,FALSE,,
68,Brown shrimp,17,5,2,0,FALSE,FALSE,,
69,White shrimp,17,5,2,0,FALSE,FALSE,,
70,Crab,17,5,2,0,FALSE,FALSE,,
71,Sessile epifauna,23,5,2,0,FALSE,FALSE,,
72,Mobile epifauna,0.1,5,2,0,FALSE,FALSE,,
73,Zooplankton,23,5,2,0,FALSE,FALSE,,
74,Infauna,0.1,5,2,0,FALSE,FALSE,,
75,Algae,0.1,5,2,0,FALSE,FALSE,,
76,Seagrass,0.1,5,2,0,FALSE,FALSE,,
77,Phytoplankton,0.1,5,2,0,FALSE,FALSE,,
78,Detritus,0.1,5,2,0,FALSE,FALSE,,
