,Prey \ predator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
1,Coastal dolphins,,,,,,3.4373,1.5705,1.4527,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Offshore dolphins,,,,,,3.4373,1.5705,,,1.01,,,,,2.1621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Baleen whales,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Seabird,,,,4.419,,,1.5705,,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sea turtle,,,,,,,1.5705,,1.01,1.01,,,,,,3.9657,,,,,,,,,,,,,,,,6.2365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Blacktip shark,,,,,,3.4373,1.5705,1.4527,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Dusky shark,,,,,,3.4373,1.5705,1.4527,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sandbar shark,,,,,,3.4373,1.5705,1.4527,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Large coastal sharks,,,,,,3.4373,1.5705,1.4527,1.01,1.01,,,1.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Large oceanic sharks,,,,,,,1.5705,1.4527,1.01,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Atlantic sharpnose shark,1.01,,,,3.8366,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,,,,,,,,,,,,,,,1.01,,2.8314,,1.2123,6.2365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Small coastal sharks,1.01,,,,3.8366,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,,4.0259,,,2.2825,,,1.01,,,,,,,1.01,,2.8314,,1.2123,6.2365,,,,,,,,,,,2.0636,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,
13,Yellowfin tuna,,,,,,3.4373,1.5705,1.4527,1.01,1.01,,,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,,1.01,,1.073,,,,,1.01,,2.8314,,1.2123,6.2365,,,,,,,,,,,2.0636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bluefin tuna,,,,,,3.4373,1.5705,1.4527,1.01,1.01,,,1.208,4.0259,2.1621,3.9657,2.2825,,,1.01,,1.073,,,,,1.01,,2.8314,,1.2123,6.2365,,,,,,,,,,,2.0636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Other tunas,,,,,,3.4373,1.5705,1.4527,1.01,1.01,,,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,,1.01,,1.073,,,,,1.01,,2.8314,,1.2123,6.2365,,,,,,,,,,,2.0636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Billfish,,,,,,,1.5705,,1.01,1.01,,,1.208,,2.1621,3.9657,,2.0531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Swordfish,,,,,,,1.5705,,1.01,1.01,,,1.208,,2.1621,3.9657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Pelagic coastal piscivores,1.01,2.3784,1.01,4.419,3.8366,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,1.4382,1.01,,1.073,,1.01,1.9974,,1.01,,2.8314,,1.2123,6.2365,1.01,2.5905,1.01,1.01,,1.01,,,2.3945,1.01,2.0636,4.7571,1.01,1.7189,1.01,,,1.01,,,,,,,2.3702,,,,,,,,,,,,,,,,,
19,Amberjack,1.01,2.3784,,4.419,3.8366,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,1.4382,1.01,,1.073,,1.01,1.9974,,1.01,,2.8314,,1.2123,6.2365,1.01,2.5905,1.01,1.01,,1.01,,,2.3945,1.01,2.0636,4.7571,1.01,1.7189,1.01,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,
20,Cobia,1.01,2.3784,,,,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,1.4382,1.01,,1.073,,1.01,1.9974,,1.01,,2.8314,,1.2123,6.2365,1.01,2.5905,,,,1.01,,,,,2.0636,,1.01,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,
21,King mackerel (-1yr),1.01,,,4.419,,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,1.4382,1.01,,1.073,,1.01,1.9974,,1.01,,2.8314,,,6.2365,,,,,,,,,,,2.0636,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,King mackerel (1+yr),1.01,2.3784,,,,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,1.4382,1.01,,,,1.01,,,1.01,,2.8314,,,6.2365,,,,,,,,,,,2.0636,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Spanish mackerel (-1yr),1.01,,,4.419,,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,1.4382,1.01,,1.073,,1.01,1.9974,,1.01,,2.8314,,,6.2365,,,,,,,,,2.3945,1.01,2.0636,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Spanish mackerel (1+yr),1.01,2.3784,,,,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,1.208,4.0259,2.1621,3.9657,2.2825,2.0531,1.4382,1.01,,1.073,,,,,1.01,,2.8314,,,6.2365,,,,,,,,,,,2.0636,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Skates-rays,1.01,2.3784,,,3.8366,3.4373,1.5705,1.4527,1.01,1.01,1.6491,1.8438,,4.0259,,,2.2825,,1.4382,1.01,,,,,1.9974,,1.01,,2.8314,,1.2123,6.2365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Gag grouper (-3yr),,,,4.419,,3.4373,1.5705,,1.01,,,,1.208,4.0259,2.1621,3.9657,,2.0531,1.4382,1.01,,1.073,,,,1.9205,1.01,1.01,2.8314,1.1757,1.2123,6.2365,1.01,2.5905,1.01,1.01,1.9873,,2.3648,1.01,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,
27,Gag grouper (3+yr),,,,,,3.4373,1.5705,,1.01,,,,1.208,4.0259,2.1621,3.9657,,2.0531,1.4382,1.01,,1.073,,,,,1.01,,2.8314,,1.2123,6.2365,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,
28,Red grouper (-3yr),,,,4.419,,3.4373,1.5705,,1.01,,,,1.208,4.0259,2.1621,3.9657,,2.0531,1.4382,1.01,,1.073,,,,1.9205,1.01,1.01,2.8314,1.1757,1.2123,6.2365,1.01,2.5905,1.01,1.01,1.9873,,2.3648,1.01,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,
29,Red grouper (3+yr),,,,,,3.4373,1.5705,,1.01,,,,1.208,4.0259,2.1621,3.9657,,2.0531,1.4382,1.01,,1.073,,,,,1.01,,2.8314,,1.2123,6.2365,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,
30,Yellowedge grouper (-3yr),,,,,,,1.5705,,1.01,,,,,4.0259,2.1621,3.9657,,,1.4382,,,,,,,1.9205,1.01,1.01,2.8314,1.1757,1.2123,,,2.5905,1.01,,,,2.3648,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,
31,Yellowedge grouper (3+yr),,,,,,,1.5705,,1.01,,,,1.208,4.0259,2.1621,3.9657,,2.0531,1.4382,1.01,,,,,,,,,,,1.2123,,1.01,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,
