Year,Blacktip shark,Blacktip shark,Dusky shark,Dusky shark,Sandbar shark,Sandbar shark,Large coastal sharks,Large coastal sharks,Large oceanic sharks,Large oceanic sharks,Atlantic sharpnose shark,Atlantic sharpnose shark,Small coastal sharks,Small coastal sharks,Yellowfin tuna,Yellowfin tuna,Bluefin tuna,Bluefin tuna,Other tunas,Other tunas,Billfish,Billfish,Swordfish,Swordfish,Pelagic coastal piscivores,Pelagic coastal piscivores,Amberjack,Amberjack,Cobia,Cobia,King mackerel (0-1yr),King mackerel (1+yr),King mackerel (1+yr),Spanish mackerel (0-1yr),Spanish mackerel (1+yr),Spanish mackerel (1+yr),,Skates-rays,Skates-rays,Gag grouper (0-3yr),Gag grouper (3+yr),Gag grouper (3+yr),Red grouper (0-3yr),Red grouper (3+yr),Red grouper (3+yr),Yellowedge grouper (0-3yr),Yellowedge grouper (3+yr),Yellowedge grouper (3+yr),Goliath grouper,Goliath grouper,Deep-water grouper,Shallow-water grouper,Shallow-water grouper,Red snapper (0yr),Red snapper (1-2yr),Red snapper (1-2yr),Red snapper (3+yr),Red snapper (3+yr),Vermilion snapper,Vermilion snapper,Mutton snapper,Mutton snapper,Other snapper,Other snapper,Inshore coastal piscivores,Sea trout,Sea trout,Oceanic piscivores,Oceanic piscivores,Benthic piscivores,Benthic piscivores,Reef piscivores,Reef piscivores,Reef invertebrate feeders,Reef invertebrate feeders,Demersal coastal invertebrate feeders,Demersal coastal invertebrate feeders,Red drum,Red drum,Benthic coastal invertebrate feeders,Benthic coastal invertebrate feeders,Tilefish,Tilefish,Gray triggerfish,Gray triggerfish,Coastal omnivores,Coastal omnivores,Reef omnivores,Surface pelagics,Sardine-herring-scad,Sardine-herring-scad,Menhaden (0yr),Menhaden (1yr),Menhaden (1yr),Menhaden (2yr),Menhaden (2yr),Menhaden (3yr),Menhaden (3yr),Menhaden (4yr),Menhaden (4yr),Anchovy-silverside-killifish,Mullet,Butterfish,Cephalopod,Pink shrimp,Pink shrimp,Brown shrimp,Brown shrimp,White shrimp,White shrimp,Crab,Crab,Mobile epifauna,Mobile epifauna
weight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Poolcode,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20,21,22,22,23,24,24,,25,25,26,27,27,28,29,29,30,31,31,32,32,33,34,34,35,36,36,37,37,38,38,39,39,40,40,41,42,42,43,43,44,44,45,45,46,46,47,47,48,48,49,49,50,50,51,51,52,52,53,54,57,57,58,59,59,60,60,61,61,62,62,63,64,65,66,67,67,68,68,69,69,70,70,72,72
Type,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,0,6,0,0,6,,6,0,0,0,6,0,0,6,0,0,6,0,6,6,0,6,0,0,6,0,6,0,6,0,6,0,6,6,6,0,6,0,6,0,6,0,6,0,6,0,0,6,6,0,0,6,0,6,6,0,6,6,6,0,0,0,6,0,6,0,6,0,6,0,6,0,0,0,6,0,6,0,6,0,6,0,6
1980,,,1.661,0.000162,1.898,1.20E-05,1.044,0.00026,1.41,,1.337,0.000208,1.494,1.20E-05,,,,1.50E-05,,0.00153,,,,0.00278,,0.00987,2.13,0.0046,1.117,0.00271,0.369,1.143,0.00676,1.05,1.144,0.00822,1,0.000339,,0.676,0.831,0.00426,,,,1.004,1.961,0.00127,0.744,0.000296,0.000176,,,1.448,0.641,0.00458,0.611,0.0106,1.554,0.000919,,,,0.00103,0.017,0.0215,,0.000368,,,,1.00E-06,,0.00319,,0.0383,,,0.00401,7.40E-05,,1.888,4.10E-05,1.604,0.00204,0.00011,,4.00E-06,0.000322,0.00759,,,0.765,0.759,1.225,1.254,1.408,0.216,0.965,0.0317,,0.043,,,,,,,,,,0.0628,,0.0343
1981,1.062,0.000794,1.661,0.000195,1.889,3.70E-05,1.05,0.000522,1.4,,1.332,0.0048,1.462,3.80E-05,,,,3.80E-05,,0.000554,,0.000661,,0.0019,,0.0149,1.923,0.00268,1.075,0.00227,0.474,1.096,0.00607,1.053,1.16,0.0103,1.253041363,0.000291,,0.658,0.845,0.00411,,,,1.02,1.907,0.00399,0.797,0.000268,0.00115,,0.00168,1.799,1.033,0.00663,0.499,0.00901,1.531,0.000991,1.098,0.00206,,0.00201,0.0186,0.0388,,0.00029,,0.00151,,0.00484,,0.0121,,0.0529,,,0.0135,0.00011,,1.864,0.000362,1.541,0.00409,0.00253,,8.30E-05,0.000317,0.00813,,,1.453,1.041,0.721,0.576,1.13,0.134,1.242,0.0315,,0.0496,,,,,,,,,,0.0622,,0.0288
1982,1.062,0.000968,1.644,0.000217,1.845,0.000121,1.032,0.000989,1.39,1.10E-05,1.32,0.000253,1.423,0.000123,,0.000312,,4.70E-05,,0.000407,,1.60E-05,,0.00215,9.50E-05,0.0178,2.027,0.00681,1.078,0.0036,1.174,1.039,0.0072,1.038,1.076,0.0131,1.593673966,0.000519,0.00559,1.054,0.834,0.00512,,,,0.98,1.744,0.00662,0.508,0.00189,0.00154,,0.00195,1.015,1.575,0.00873,0.396,0.00582,1.514,0.00163,1.119,0.00213,0.00934,0.00259,0.0244,0.0449,0.0138,0.000449,,0.00193,0.0757,0.000618,,0.0121,0.0661,0.0566,0.0431,,0.0165,0.00237,0.0996,1.783,0.000442,1.399,0.00403,0.00173,0.0403,0.000137,0.000237,0.0121,0.00236,,1.41,1.213,1.495,1.378,0.916,0.126,1.408,0.0415,0.00286,0.0415,0.0001,0.00727,,,,,,,0.0186,0.0541,0.0254,0.0269
1983,1.058,0.000477,1.626,0.000257,1.806,0.00053,1.021,0.000464,1.39,,1.312,0.00235,1.38,0.00019,,0.000224,,0.00012,,0.000483,,1.30E-05,,0.0013,0.0038,0.0179,1.837,0.00407,0.895,0.00258,0.345,0.974,0.00717,1.019,0.983,0.00886,1.077858881,0.000594,0.00586,1.13,0.844,0.00571,,,,0.973,1.475,0.00509,0.408,0.000255,0.000511,,0.00396,0.468,1.443,0.00877,0.419,0.00888,1.489,0.00119,1.086,0.00236,0.00637,0.00314,0.0277,0.0478,0.0524,0.000495,0.00708,0.00515,0.0786,0.000811,0.00107,0.0143,0.0472,0.0593,0.279,,0.0216,0.00275,0.171,1.688,0.000341,1.282,0.00263,0.00181,0.0419,4.60E-05,3.80E-05,0.00952,0.0102,,1.032,1.14,1.386,1.533,1.61,0.268,1.057,0.0377,0.00337,0.0412,0.00656,0.0269,,,,,,,0.0394,0.0593,0.057,0.0251
1984,1.058,0.000636,1.609,0.000228,1.739,0.000126,1.021,0.000489,1.38,0.000107,1.245,0.000291,1.35,0.000192,,0.00126,,0.000257,,0.000336,,4.80E-05,,0.00128,0.00412,0.0178,1.824,0.00365,0.694,0.00217,0.521,0.921,0.0077,1.011,0.947,0.00725,0.881995134,0.000568,0.00157,0.795,0.875,0.0037,,,,0.922,1.279,0.00406,0.445,0.000216,0.000191,,0.00108,0.341,0.789,0.0025,0.48,0.00976,1.477,0.00264,1.059,0.00238,0.0114,0.00655,0.0265,0.0445,0.0505,0.000516,0.0119,0.00111,0.0669,0.000249,0.00152,0.0139,0.0413,0.0477,0.297,,0.0232,0.0006,0.143,1.615,0.000442,1.238,0.00124,0.00233,0.0294,7.30E-05,4.10E-05,0.0106,0.0221,,1.169,1.668,0.935,1.225,1.113,0.221,1.252,0.0534,0.0115,0.0422,0.0652,0.0224,0.489,0.0072,0.647,0.12,1.716,0.082,0.0457,0.0826,0.0321,0.0264
1985,1.054,0.000843,1.591,0.000205,1.686,5.30E-05,1.009,0.00144,1.37,,1.247,0.000283,1.325,0.000103,,0.00476,,0.000218,,0.000369,,0.000165,,0.00205,0.00113,0.0131,1.807,0.00544,0.785,0.00268,0.776,0.858,0.00607,1.413,0.952,0.0056,0.681265207,0.00184,0.0073,0.777,0.971,0.00649,,,,0.963,1.132,0.00302,0.421,0.000424,0.00205,,0.00232,0.482,0.413,0.000605,0.547,0.0125,1.432,0.00325,0.973,0.000688,0.0182,0.0032,0.024,0.0422,0.0619,0.000464,0.018,0.00279,0.0666,0.000833,0.00133,0.0153,0.0581,0.0526,0.174,,0.0219,0.000575,0.11,1.528,0.000408,1.269,0.00111,0.00093,0.0451,0.000213,0.00043,0.0112,0.00918,,1.698,1.756,0.944,0.997,0.494,0.0782,0.65,0.022,0.00771,0.0375,0.011,0.0146,1.131,0.023,0.876,0.127,1.061,0.0862,0.0441,0.0828,0.0388,0.0255
1986,1.05,0.00355,1.574,0.000195,1.638,0.00026,1.009,0.00149,1.34,2.00E-06,1.243,0.00472,1.265,5.80E-05,,0.0113,,0.000371,,0.00331,,0.000314,,0.00144,0.000858,0.0187,1.681,0.0085,0.661,0.00272,0.697,0.81,0.00652,0.882,1.057,0.018,2.189781022,0.000644,0.00497,0.767,0.936,0.00594,0.937,1.046,0.0161,1.064,1.031,0.00208,0.23,0.000214,0.00126,,0.0102,0.566,0.394,0.000477,0.531,0.0121,1.381,0.00401,1.01,0.00155,0.00531,0.00271,0.0262,0.0532,0.0347,0.00044,0.0036,0.00468,0.0487,0.000732,0.00459,0.0126,0.0423,0.0574,0.0508,,0.0358,0.00046,0.0618,1.447,0.000487,1.36,0.00236,0.00143,0.0405,9.90E-05,0.000465,0.016,0.00612,,1.043,0.985,1.577,1.558,0.828,0.122,0.461,0.0146,0.00417,0.0454,0.01,0.011,0.882,0.017,0.926,0.144,0.817,0.104,0.0291,0.0777,0.0178,0.0404
