,"Group name","Base dispersal rate","IBM dispersal in bad habitat (multiplier)","Rel. vul to pred. in bad hab.","Rel. move speed to cell fitness (multiplier)","Is advected (True/False)","Is migratory (True/False)","Barrier avoidance weight","Mig. in area movement"
1,"striped bass 0",30.00,5.000,2.000,0.000,False,False,,
2,"striped bass 2-5",150.0,5.000,2.000,20.00,False,False,,
3,"striped bass 6+",300.0,5.000,2.000,20.00,False,False,,
4,"menhaden juv",100.00,5.000,2.000,0.000,False,False,,
5,"menhaden adult",300.0,5.000,2.000,0.000,False,False,,
6,"spiny dogfish",300.0,5.000,2.000,0.000,False,False,,
7,"bluefish juv",30.00,5.000,2.000,0.000,False,False,,
8,"bluefish adult",150.0,5.000,2.000,0.000,False,False,,
9,"weakfish juv",30.00,5.000,2.000,0.000,False,False,,
10,"weakfish adult",150.0,5.000,2.000,0.000,False,False,,
11,"Atlantic herring 0-1",30.00,5.000,2.000,0.000,False,False,,
12,"Atlantic herring 2+",300.0,5.000,2.000,0.000,False,False,,
13,anchovies,30.00,5.000,2.000,0.000,False,False,,
14,"benthic inverts",30.00,5.000,2.000,0.000,False,False,,
15,zooplankton,300.0,5.000,2.000,0.000,False,False,,
16,phytoplankton,300.0,5.000,2.000,0.000,False,False,,
17,Detritus,10.000,5.000,2.000,0.000,False,False,,
