,resp.idx,resp.name,shape,par1,par2,par3,par4
1,1,SB_0_depth,trapezoid,0,0,10.23,30
2,2,SB_2_5_depth,trapezoid,0,15.99,20.5,25
3,3,SB_6p_depth,trapezoid,2,31.98,40.99,50
4,4,AM_0_depth,trapezoid,0,0,12.99,26
5,5,AM_1p_depth,trapezoid,0,4.96,25.98,50
6,6,SDF_depth,trapezoid,0,48.71,299.55,1460
7,7,BF_0_depth,trapezoid,0,16.39,71.18,150
8,8,BF_1p_depth,trapezoid,0,21.85,94.91,200
9,9,WF_0_depth,trapezoid,0,0,9.49,20
10,10,WF_1p_depth,trapezoid,0,10.99,19,26
11,11,AH_0_depth,trapezoid,0,0,99.88,182
12,12,AH_2p_depth,trapezoid,0,0,199.76,364
13,13,anchovies_depth,trapezoid,1,1,35.99,70
14,14,SB_0_surf_temp,trapezoid,5.78,8.22,23.85,26.81
15,15,SB_2_5_surf_temp,trapezoid,5.78,8.22,23.85,26.81
16,16,SB_6p_surf_temp,trapezoid,5.78,8.22,23.85,26.81
17,17,AM_0_surf_temp,trapezoid,5,8.79,23.7,30
18,18,AM_1p_surf_temp,trapezoid,8.19,8.8,23.7,26.49
19,19,SDF_surf_temp,trapezoid,-0.57,8.16,19.44,28.51
20,20,BF_0_surf_temp,trapezoid,3.91,14.02,27.43,31.64
21,21,BF_1p_surf_temp,trapezoid,3.91,14.02,27.43,31.64
22,22,WF_0_surf_temp,trapezoid,3.02,12.76,24.07,26.18
23,23,WF_1p_surf_temp,trapezoid,3.02,12.76,24.07,26.18
24,24,AH_0_surf_temp,trapezoid,-0.57,5.08,12.17,25.4
25,25,AH_2p_surf_temp,trapezoid,-0.57,5.08,12.17,25.4
26,26,anchovies_surf_temp,trapezoid,12.68,14.87,26.81,31.01
27,27,SB_0_surf_salin,trapezoid,0,5.53,17.48,36.45
28,28,SB_2_5_surf_salin,trapezoid,4.5,11.08,35.01,36.45
29,29,SB_6p_surf_salin,trapezoid,5,22.21,35.01,36.45
30,30,AM_0_surf_salin,trapezoid,0,19.96,26.89,36.15
31,31,AM_1p_surf_salin,trapezoid,19.98,26.89,36.15,36.65
32,32,SDF_surf_salin,trapezoid,3.58,30.59,35.65,39.25
33,33,BF_0_surf_salin,trapezoid,13.03,29.75,36.52,40.53
34,34,BF_1p_surf_salin,trapezoid,13.03,29.75,36.52,40.53
35,35,WF_0_surf_salin,trapezoid,0,22.19,28.92,40
36,36,WF_1p_surf_salin,trapezoid,10,27.72,36.15,36.66
37,37,AH_0_surf_salin,trapezoid,3.36,13.39,35.12,40.47
38,38,AH_2p_surf_salin,trapezoid,3.36,13.39,35.12,40.47
39,39,anchovies_surf_salin,trapezoid,18.94,25.83,36.16,36.66
40,40,SB_0_dist2sh,trapezoid,0,0.2,43.39,242
41,41,SB_2_5_dist2sh,trapezoid,0,0,65.09,363
42,42,SB_6p_dist2sh,trapezoid,0,0,86.79,484
43,43,AM_0_dist2sh,trapezoid,2,2,66.95,134
44,44,AM_1p_dist2sh,trapezoid,0,1.61,133.61,484
45,45,SDF_dist2sh,trapezoid,0,10.28,274.8,685
46,46,BF_0_dist2sh,trapezoid,0,2.42,88.81,484
47,47,BF_1p_dist2sh,trapezoid,0,4.84,177.61,968
48,48,WF_0_dist2sh,trapezoid,2,2,72.26,242
49,49,WF_1p_dist2sh,trapezoid,4,4,144.52,484
50,50,AH_0_dist2sh,trapezoid,0,2.62,119.61,629
51,51,AH_2p_dist2sh,trapezoid,0,5.25,239.22,1258
52,52,anchovies_dist2sh,trapezoid,0,1.9,86.95,134
53,53,Environmental response 53,trapezoid,0,0,1,1
