,"Prey \ predator",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,"striped bass 0",36.12,74.17,714.0,,,,5.343,2.295,5.491,,,,,,
2,"striped bass 2-5",,,,,,6.524,,,,,,,,,
3,"striped bass 6+",,,,,,6.524,,,,,,,,,
4,"menhaden juv",36.12,74.17,714.0,,,6.524,5.343,2.295,5.491,2.570,,,,,
5,"menhaden adult",,74.17,714.0,,,6.524,,2.295,,2.570,,,,,
6,"spiny dogfish",,,,,,6.524,,2.295,,,,,,,
7,"bluefish juv",36.12,74.17,714.0,,,,5.343,2.295,,2.570,,,,,
8,"bluefish adult",,,,,,6.524,,2.295,,,,,,,
9,"weakfish juv",36.12,74.17,,,,,5.343,2.295,5.491,2.570,,,,,
10,"weakfish adult",36.12,74.17,714.0,,,6.524,,2.295,,2.570,,,,,
11,"Atlantic herring 0-1",,74.17,714.0,,,6.524,5.343,2.295,,,,,,,
12,"Atlantic herring 2+",,74.17,714.0,,,6.524,,2.295,,2.570,,,,,
13,anchovies,36.12,74.17,714.0,,,6.524,5.343,2.295,5.491,2.570,10.97,8.536,,,
14,"benthic inverts",36.12,74.17,714.0,,,6.524,5.343,2.295,5.491,2.570,10.97,8.536,2.000,2.000,2.000
15,zooplankton,36.12,74.17,714.0,2.002,1.710,6.524,5.343,2.295,5.491,2.570,10.97,8.536,2.000,2.000,2.000
16,phytoplankton,,,,174.6,100000000,,,,,,,,2.000,2.000,2.000
17,Detritus,36.12,74.17,,1.043,100000000,6.524,5.343,,5.491,2.570,,,2.000,2.000,2.000
