Title,SB_compos,SB_MRIP,SB_CTLIST,SB_MDSSN,AM_lowM_U.nad.ob,AM_lowM_U.mad.ob,AM_lowM_U.sad.ob,AM_lowM_U.jai.ob,SDF_NEFSC_Spring_BTS,BF_MRIP_CPUE,BF_NC_PSIGNS,BF_CompYOY,BF_NEFSC_A,WF_MRIP_CPUE,WF_DE_30ft_Trawl,WF_Composite_YOY,WF_NJ_Ocean_Trawl,WF_NC_PSIGNS,AH_Shrimp,AH_FallAlb85,AH_FallBig,Anchovy _SDM,ZP NEFSC biovolume,SB_stanza1_biomass_mtkm2,SB_stanza2_biomass_mtkm2,SB_stanza3_biomass_mtkm2,AM_lowM_stanza1_biomass_mtkm2,AM_lowM_stanza2_biomass_mtkm2,SDF_stanza1_biomass_mtkm2,BF_stanza1_biomass_mtkm2,BF_stanza2_biomass_mtkm2,WF_stanza1_biomass_mtkm2,WF_stanza2_biomass_mtkm2,AH_stanza1_biomass_mtkm2,AH_stanza2_biomass_mtkm2,SB_rel_effort,AM_rel_effort,SDF_rel_effort,BF_rel_effort,WF_rel_effort,AH_rel_effort,SB_stanza1_landings_mtkm2,SB_stanza2_landings_mtkm2,SB_stanza3_landings_mtkm2,AM_stanza1_landings_mtkm2,AM_stanza2_landings_mtkm2,SDF_stanza1_landings_mtkm2,BF_stanza1_landings_mtkm2,BF_stanza2_landings_mtkm2,WF_stanza1_landings_mtkm2,WF_stanza2_landings_mtkm2,AH_stanza1_landings_mtkm2,AH_stanza2_landings_mtkm2
weight,3.209876543,5.447764321,5.383821616,4,1.652892562,1.577669903,1.759834369,1.986754967,3.461026762,3.812979079,7.618813084,3.461147843,1.446825315,3.568161025,4.302477184,2.560240964,3.430079156,3.08988764,1.203308465,1.412273124,1.840792487,1,1.806,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10
Poolcode,1,2,2,3,5,5,5,4,6,8,8,7,8,10,10,9,10,10,12,12,12,13,15,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,1,2,3,4,5,6,7,8,9,10,11,12
Type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,3,3,3,3,3,3,61,6,61,61,6,6,61,6,61,6,61,6
1985,66.38,0.1206,,4.88,,1.88,,2.64,6.00978,0.337,,2.045,17.763,0.289,,,0.9,,0.26,2.18,,0.635350644,22.88639,0.014675378,0.04090138,0.033664034,1.502240363,2.524766553,1.667543458,0.021555745,0.465025205,0.009431799,0.027836128,0.013140615,0.317799382,1,1,1,1,1,1,0.000263842,0.001870029,0.000108943,0.011784395,0.787578624,0.05414844,0.00179934,0.116327692,0.00119993,0.023941712,0.008815934,0.129991319
1986,40.11,0.2573,,10.07,,1.87,,2.27,1.48926,0.329,,1.29,40.897,1.022,,,0.88,,0.63,1.05,,0.693925545,20.8449,0.012031326,0.055794228,0.028600739,1.085127211,2.849138163,1.6683721,0.013584933,0.38325663,0.00689143,0.043518837,0.134414666,0.423046419,0.591210312,0.694936582,0.898711046,2.164181569,1.214124959,0.363093087,0.000112475,0.001631618,2.80E-05,0.005713524,0.617282633,0.048687983,0.001507399,0.234196222,0.001489297,0.042762357,0.005330912,0.149104463
1987,66.15,0.4333,0.053,7.15,,2.06,,0.41,3.29929,0.311,,1.561,7.446,0.404,,,0.24,,8.12,10.694,,0.602461971,23.32424,0.020649928,0.074361347,0.031872546,0.987371202,2.616730544,1.68445698,0.009620654,0.321626606,0.002360223,0.032508239,0.031563917,0.624134343,0.30158072,0.999569101,0.847868044,2.417838338,1.510582259,0.807710662,0.000147148,0.000940157,1.33E-05,0.006664113,0.818411381,0.046376394,0.001679442,0.203297151,0.00086833,0.0365237,0.019665001,0.155564025
1988,184.95,0.4494,0.036,3.27,,1.94,,1.06,3.34931,0.149,,1.104,30.468,0.483,,4.3,1.36,,25.44,12.507,,1.096804152,18.25444,0.038761991,0.090041961,0.041608223,1.86964059,2.122454104,1.701440204,0.018161801,0.247475601,0.003130052,0.020402685,0.200637669,0.607540738,0.448583603,1.219734745,0.869710074,1.985504397,1.886621659,0.395401218,0.000167362,0.001937915,0.000174171,0.01681624,0.808180841,0.048050728,0.001393082,0.144950059,0.00085322,0.032442371,0.02429695,0.185850442
1989,91.55,0.4151,0.063,3.96,,1.21,,1.54,2.87747,0.277,,1.638,91.379,0.205,,35,0.68,,8.93,15.96,,0.913974806,19.84824,0.033466059,0.09342526,0.075673076,1.569206122,2.85230941,1.723225444,0.027375943,0.224158312,0.0075447,0.014367296,0.245644615,0.80531366,0.695909479,0.893196716,0.977323835,1.294684846,1.25136261,0.299868597,0.000299754,0.002598218,0.000742597,0.014241179,0.789327156,0.054687663,0.002803251,0.073870002,0.000943848,0.015953305,0.014990986,0.211643932
1990,158.92,0.6068,0.162,5.04,0.53,0.93,3.12,0.71,4.6842,0.242,,1.255,8.738,0.203,,35.5,1.01,4.21,16.77,15.722,,0.825121796,24.68071,0.024431756,0.096463183,0.09819643,2.254699093,2.865903175,1.731757558,0.020609197,0.216957188,0.00250471,0.014684351,0.218341258,0.985961782,1.388383619,1.07797879,1.726282206,1.204111352,1.847938117,0.223015099,0.00015128,0.00649711,0.001903687,0.016208685,0.966530302,0.09707506,0.001569029,0.07063952,0.002821467,0.010250198,0.005697509,0.211731053
1991,85.03,0.7504,0.146,4.61,0.31,0.74,1.23,0.76,3.19174,0.2,,1.8,15.839,0.265,55.88,61,1.04,5.67,13.98,23.329,,0.809173824,20.4335,0.033325571,0.105743369,0.113890827,3.609285714,3.011885306,1.738626027,0.011993494,0.180748927,0.006891967,0.017913032,0.191063073,1.180294048,1.603339165,0.986487796,1.362486231,1.467965803,1.142912677,0.194465326,0.000303175,0.007219927,0.003410418,0.030009388,0.924042186,0.076921384,0.001345044,0.068251824,0.001319894,0.016782804,0.001999082,0.23552246
